Action,Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
ADDED,SBGL,1.44B,10.35%,0.60%,2.00%,0.70%,1.80,1.30,1.11,1.13,8.20%,1.80%,0.90%,-,2.56,-0.20%
ADDED,DKL,765.89M,10.20%,11.00%,34.30%,14.80%,2.40,1.80,4.25,4.25,31.50%,17.60%,9.70%,Nov 06/a,30.92,-0.18%
ADDED,REM,-,10.01%,-,-,-,-,-,-,-,-,-,-,-,42.64,0.16%
ADDED,FEDU,204.46M,10.00%,2.30%,3.10%,5.80%,2.90,2.90,0.00,0.00,57.40%,15.20%,6.50%,Oct 24/b,4.29,2.14%
REMOVED,PBI,1.27B,11.33%,3.80%,142.60%,8.30%,1.20,1.20,16.56,18.28,48.10%,9.60%,6.90%,Nov 01/b,7.34,10.88%
REMOVED,LKSD,324.20M,11.03%,-3.20%,-25.50%,3.60%,1.30,1.00,3.08,4.14,15.00%,0.10%,-1.70%,Nov 01/b,10.00,6.04%
REMOVED,GME,1.57B,10.41%,-0.90%,-2.00%,4.40%,1.50,0.50,0.39,0.39,32.70%,0.80%,-0.50%,Dec 06/a,14.83,1.58%
REMOVED,VEON,5.15B,10.32%,-2.40%,-10.70%,4.90%,0.60,0.50,2.55,2.98,77.10%,16.20%,-4.80%,Nov 08/b,2.85,1.25%
REMOVED,DBD,296.79M,10.26%,-6.90%,-83.30%,-1.40%,1.40,0.90,8.00,8.30,22.10%,-3.50%,-7.80%,Oct 31/b,4.00,2.56%
REMOVED,IEP,12.41B,10.23%,3.30%,19.40%,4.60%,-,-,1.40,1.40,25.20%,7.30%,6.30%,Nov 09/b,69.88,2.10%
REMOVED,SEMG,1.50B,10.22%,-1.20%,-3.90%,2.20%,1.10,1.00,1.60,1.60,28.10%,4.80%,-2.60%,Nov 07/a,18.66,0.92%
REMOVED,FCO,71.72M,10.22%,-,-,-,-,-,-,-,-,-,-,-,8.32,1.22%
REMOVED,SCD,219.22M,10.17%,-,-,-,-,-,-,-,-,-,-,-,12.26,0.57%
REMOVED,PNNT,496.92M,10.14%,-,-,-,-,-,-,-,-,-,-,Nov 15/a,7.14,0.63%
REMOVED,AVK,505.36M,10.12%,-,-,-,-,-,-,-,-,-,-,-,14.05,0.86%
REMOVED,ADES,197.90M,10.10%,41.90%,46.50%,-35.20%,9.90,9.80,0.00,0.00,-12.50%,-75.20%,-,Nov 05/a,10.00,1.01%
REMOVED,MIE,-,10.07%,-,-,-,-,-,-,-,-,-,-,-,9.19,0.55%
REMOVED,ETW,1.16B,10.06%,-,-,-,-,-,-,-,-,-,-,-,10.85,0.18%
REMOVED,INB,-,10.05%,-,-,-,-,-,-,-,-,-,-,-,8.28,0.24%
