Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,100.81M,642.66%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,Sep 18/b,1.43,0.00%
SWZ,197.70M,251.47%,-,-,-,-,-,-,-,-,-,-,-,7.85,0.51%
VMIN,-,119.19%,-,-,-,-,-,-,-,-,-,-,-,2.70,-0.42%
KEN,897.80M,77.32%,-,-,-1.50%,2.00,-,0.71,0.81,20.70%,-,-,Nov 29/b,15.97,0.00%
OSB,2.20B,54.27%,-,-,-,-,-,-,-,-,-,-,Nov 09/b,28.14,10.66%
OXBR,6.90M,43.42%,-88.10%,-164.90%,-148.10%,-,-,0.14,0.14,-,-,-,Nov 13/a,1.17,5.83%
WHLR,31.16M,41.42%,-5.00%,-105.30%,0.10%,-,-,20.33,20.33,73.40%,3.60%,-39.80%,Nov 06/a,3.31,0.80%
ATAI,26.70M,36.61%,-14.50%,-34.60%,6.80%,1.20,1.20,0.00,0.07,47.20%,-,-27.50%,Nov 08/a,1.13,1.29%
PMTS,30.46M,30.61%,-16.90%,32.20%,-4.80%,2.20,2.00,-,-,29.60%,-7.20%,-15.80%,Nov 06/b,2.93,-0.34%
NAUH,16.03M,28.99%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Oct 10/a,0.62,-0.19%
FGP,162.55M,25.32%,-16.00%,31.90%,-7.40%,1.30,1.00,-,-,37.60%,-4.40%,-12.20%,Sep 27/b,1.63,3.16%
SNMP,113.04M,25.00%,-6.80%,98.20%,-0.10%,0.80,0.80,-,-,71.80%,5.20%,-48.20%,Nov 09/b,7.17,-0.42%
CBL,586.87M,24.24%,-0.40%,-2.00%,5.00%,-,-,3.84,3.84,71.00%,22.00%,-2.50%,Oct 29/a,3.29,-0.30%
VEDL,10.45B,23.43%,0.80%,2.50%,13.40%,0.80,0.70,0.45,0.98,28.20%,24.50%,1.50%,Nov 09/b,11.40,2.29%
CLM,546.34M,23.16%,-,-,-,-,-,-,-,-,-,-,-,12.41,1.24%
EXD,-,22.99%,-,-,-,-,-,-,-,-,-,-,-,8.40,0.60%
CRF,272.95M,22.89%,-,-,-,-,-,-,-,-,-,-,-,12.27,1.74%
