Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
MDLY,155.17M,15.21%,-2.00%,26.80%,20.10%,-,-,-,-,-,26.00%,-3.60%,Nov 13/b,5.30,0.76%
CHW,444.32M,15.14%,-,-,-,-,-,-,-,-,-,-,-,7.61,1.06%
ORC,348.60M,15.05%,-0.40%,-3.90%,0.10%,-,-,0.00,8.43,-0.60%,-26.20%,-26.30%,Oct 25/a,6.61,3.53%
ROYT,99.42M,15.04%,3.50%,3.50%,2.00%,-,-,0.00,0.00,-,77.00%,76.80%,Oct 29,2.29,1.33%
MMLP,534.13M,15.04%,4.70%,27.00%,5.40%,2.30,1.00,99.81,99.81,30.20%,5.60%,5.50%,Oct 24/a,13.61,2.33%
AVH,216.96M,14.98%,-0.10%,-0.30%,5.30%,0.50,0.50,2.88,3.37,44.90%,5.60%,-0.10%,Nov 13/a,5.08,-1.17%
GGN,544.06M,14.96%,-,-,-,-,-,-,-,-,-,-,-,4.08,1.75%
RIV,-,14.89%,-,-,-,-,-,-,-,-,-,-,-,16.98,0.35%
WPG,1.28B,14.81%,1.70%,8.80%,9.40%,-,-,3.86,3.86,67.90%,32.50%,10.30%,Oct 24/a,6.45,-4.52%
ECT,31.52M,14.77%,9.00%,9.20%,11.20%,-,-,0.00,0.00,-,79.00%,79.50%,Nov 08/b,1.76,0.06%
PVL,90.72M,14.60%,49.90%,49.90%,47.50%,-,-,0.00,0.00,-,98.20%,98.40%,Oct 26,2.76,0.78%
ECC,350.87M,14.60%,-,-,-,-,-,-,-,-,-,-,Nov 13/b,16.87,2.62%
FPL,-,14.57%,-,-,-,-,-,-,-,-,-,-,-,8.67,0.23%
SMLP,1.20B,14.43%,-0.10%,-0.20%,-2.10%,1.10,1.10,1.26,1.26,64.00%,-7.80%,-0.40%,Nov 08/a,16.10,1.00%
USAC,1.38B,14.31%,-1.00%,-3.40%,-,1.40,0.90,1.11,1.11,63.40%,7.10%,-5.90%,Nov 06/b,14.62,-0.41%
BKEP,90.45M,14.29%,-2.70%,-2.10%,3.80%,1.00,1.00,0.80,0.80,77.10%,12.90%,-4.30%,Oct 31/a,2.23,-0.45%
IFN,552.57M,14.21%,-,-,-,-,-,-,-,-,-,-,-,20.04,0.25%
BGFV,90.86M,14.15%,-1.90%,-4.50%,3.50%,2.20,0.20,0.52,0.53,31.20%,0.20%,-0.90%,Oct 30/a,3.51,-17.22%
TCRD,251.59M,14.03%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,7.70,0.00%
GARS,128.64M,14.01%,3.10%,7.00%,4.10%,-,-,1.29,1.29,59.30%,46.10%,33.80%,Nov 06/a,8.00,0.06%
DVHL,-,13.94%,-,-,-,-,-,-,-,-,-,-,-,17.80,1.31%
EARN,136.73M,13.84%,0.30%,2.70%,1.40%,-,-,0.00,8.82,41.70%,38.90%,9.30%,Nov 08/a,10.63,-0.56%
MBT,8.18B,13.80%,-,-,18.20%,0.90,0.80,3.58,4.28,63.30%,-,-,Nov 20/b,8.01,0.44%
EUFL,-,13.65%,-,-,-,-,-,-,-,-,-,-,-,27.04,0.00%
MSB,363.03M,13.59%,164.20%,242.70%,316.00%,9.90,9.90,0.00,0.00,-,97.50%,97.30%,Nov 08/a,27.59,-0.29%
