Action,Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
ADDED,ZF,201.07M,15.42%,-,-,-,-,-,-,-,-,-,-,-,9.34,0.00%
ADDED,ZTR,240.53M,13.85%,-,-,-,-,-,-,-,-,-,-,-,9.82,0.00%
ADDED,NCZ,412.21M,12.59%,-,-,-,-,-,-,-,-,-,-,-,5.48,0.00%
ADDED,TPOR,-,12.27%,-,-,-,-,-,-,-,-,-,-,-,28.45,0.00%
ADDED,FEO,63.30M,11.43%,-,-,-,-,-,-,-,-,-,-,-,12.25,0.00%
ADDED,QYLD,-,10.98%,-,-,-,-,-,-,-,-,-,-,-,23.31,0.00%
ADDED,AWP,477.43M,10.73%,-,-,-,-,-,-,-,-,-,-,-,5.59,0.00%
ADDED,VEON,5.17B,10.55%,-2.40%,-10.70%,4.90%,0.60,0.50,2.55,2.98,77.10%,16.20%,-4.80%,Nov 15/b,2.75,0.00%
ADDED,MIC,3.29B,10.53%,6.10%,15.70%,3.60%,1.40,1.40,0.99,1.12,53.90%,16.30%,25.30%,Oct 31/a,37.97,0.00%
ADDED,TNK,310.89M,10.53%,-3.40%,-7.50%,0.10%,0.70,0.70,0.96,1.13,22.80%,-6.10%,-13.30%,Nov 15/b,1.14,0.00%
ADDED,SEMG,1.48B,10.50%,-0.80%,-2.60%,2.20%,1.20,1.10,1.68,1.69,27.80%,7.20%,-1.70%,Nov 07/a,18.00,0.00%
ADDED,IRS,785.72M,10.40%,5.40%,48.10%,11.60%,2.10,2.00,4.84,5.52,40.70%,85.00%,45.30%,Nov 21,13.27,0.00%
ADDED,JMF,-,10.40%,-,-,-,-,-,-,-,-,-,-,-,9.62,0.00%
ADDED,REM,-,10.38%,-,-,-,-,-,-,-,-,-,-,-,43.27,0.00%
ADDED,APU,3.41B,10.35%,3.80%,21.20%,9.50%,0.80,0.60,3.92,4.20,52.50%,13.30%,5.60%,Nov 12/a,36.72,0.00%
ADDED,FDEU,-,10.31%,-,-,-,-,-,-,-,-,-,-,-,14.06,0.00%
ADDED,DBD,315.44M,10.28%,-4.80%,-58.00%,-1.40%,1.40,0.90,8.00,8.30,21.50%,-1.20%,-5.40%,Oct 31/b,3.89,0.00%
ADDED,SNP,107.36B,10.26%,2.60%,5.40%,6.10%,0.80,0.40,0.20,0.36,20.20%,2.40%,1.40%,Nov 26,84.09,0.00%
ADDED,MBT,8.05B,10.21%,-,-,18.20%,0.90,0.80,3.58,4.28,63.30%,-,-,Nov 20/b,8.03,0.00%
ADDED,MRT,259.31M,10.19%,3.20%,5.40%,5.60%,-,-,0.75,0.75,96.90%,49.80%,29.00%,Nov 09/a,8.24,0.00%
ADDED,HMLP,576.82M,10.19%,5.10%,14.80%,9.60%,0.80,0.70,1.22,1.34,84.00%,72.10%,37.20%,Nov 15/b,17.27,0.00%
ADDED,NMFC,1.02B,10.11%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,13.45,0.00%
ADDED,HTGC,1.18B,10.10%,-,-,-,-,-,-,-,-,-,-,Nov 01/a,12.28,0.00%
ADDED,IEP,12.73B,10.06%,1.80%,10.30%,4.60%,-,-,1.35,1.35,20.40%,1.90%,4.10%,Nov 09/b,69.56,0.00%
ADDED,GMZ,-,10.05%,-,-,-,-,-,-,-,-,-,-,-,8.36,0.00%
ADDED,GNL,1.54B,10.02%,0.40%,0.90%,2.80%,-,-,1.22,0.00,80.00%,30.70%,4.70%,Nov 07/b,21.25,0.00%
ADDED,VIV,19.15B,10.02%,8.70%,12.70%,7.10%,0.90,0.90,0.07,0.09,52.70%,21.90%,20.60%,Nov 21/b,11.58,0.00%
REMOVED,SNR,456.00M,16.43%,0.30%,1.90%,-2.30%,5.50,5.50,4.75,4.75,73.40%,-12.10%,2.00%,Nov 01/b,5.54,1.09%
REMOVED,BPL,4.86B,15.30%,4.60%,9.90%,7.20%,1.00,0.70,1.02,1.06,41.20%,17.10%,11.70%,Nov 02/b,33.00,0.30%
REMOVED,SMRT,100.35M,13.45%,-1.80%,-17.00%,-8.40%,1.10,0.20,0.87,3.10,26.90%,-0.60%,-0.70%,Nov 14/a,2.23,3.24%
REMOVED,JE,508.95M,11.14%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,3.41,0.59%
REMOVED,EQM,5.19B,10.30%,7.00%,12.20%,7.70%,0.30,0.30,0.69,0.00,-,71.60%,35.90%,Oct 25/b,43.29,-1.37%
