Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,113.80M,600.65%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,May 06/b,1.48,-3.22%
NAUH,1.56M,285.26%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Jan 30/a,0.06,1.43%
SWZ,101.10M,257.74%,-,-,-,-,-,-,-,-,-,-,-,7.66,0.52%
WHLR,15.90M,91.28%,-5.50%,-223.90%,1.80%,-,-,600.17,600.17,71.90%,9.70%,-44.60%,Feb 26/a,1.62,8.86%
OXBR,6.30M,43.64%,-31.40%,-45.30%,-93.00%,-,-,0.00,0.00,-,-,-,Mar 26/a,1.19,8.18%
BKEP,43.20M,31.07%,-18.20%,-17.00%,-5.30%,1.00,1.00,1.05,1.05,40.40%,-7.10%,-17.30%,Mar 11/a,1.05,1.53%
FGP,128.20M,30.53%,-15.40%,23.10%,-7.40%,1.10,0.80,-,-,42.60%,-2.80%,-12.10%,Mar 08/b,1.32,0.76%
SNMP,38.21M,27.91%,-4.70%,40.80%,11.60%,1.30,1.30,-,-,74.50%,16.10%,-28.20%,Mar 15/b,2.13,-0.93%
MHLD,66.78M,26.93%,-9.00%,-131.80%,-126.60%,-,-,2.85,2.85,-,-20.00%,-26.30%,Mar 27/b,0.73,-1.08%
ECT,31.29M,25.42%,-,-,-,-,-,-,-,-,-,-,Apr 09/b,1.77,0.00%
DRAD,18.99M,24.13%,1.30%,2.60%,-8.40%,1.60,1.20,0.37,0.00,17.50%,-4.40%,0.70%,Mar 15/b,0.89,-2.49%
SMLP,725.47M,23.64%,0.10%,0.50%,6.20%,1.00,1.00,1.39,1.39,59.60%,26.60%,0.80%,Feb 26/b,9.85,1.23%
FEDU,86.29M,23.60%,1.40%,1.90%,5.40%,3.30,3.30,0.00,0.00,54.10%,9.80%,3.90%,Apr 29/b,1.87,5.06%
MDLY,107.08M,23.32%,-3.20%,33.50%,20.10%,-,-,-,-,-,19.10%,-5.40%,Apr 04/b,3.54,3.21%
ACET,5.90M,23.00%,-54.60%,-475.30%,-69.50%,1.00,0.60,2.65,6.30,12.80%,-46.00%,-61.10%,Feb 07/a,0.18,4.68%
MRRL,-,21.90%,-,-,-,-,-,-,-,-,-,-,-,14.35,0.69%
MORL,-,21.89%,-,-,-,-,-,-,-,-,-,-,-,15.17,0.33%
SMHD,-,21.71%,-,-,-,-,-,-,-,-,-,-,-,14.15,1.06%
REML,-,21.70%,-,-,-,-,-,-,-,-,-,-,-,25.50,0.61%
NDP,-,20.98%,-,-,-,-,-,-,-,-,-,-,-,8.47,1.56%
CGA,19.11M,20.53%,-1.70%,-2.10%,5.70%,5.60,4.00,0.02,0.03,24.10%,10.40%,-3.10%,Apr 10/b,0.50,2.42%
SMTA,279.59M,20.34%,-9.80%,-162.70%,-11.20%,-,-,-,-,94.80%,-93.10%,-93.90%,Mar 21/a,6.48,-0.15%
CLM,886.86M,20.20%,-,-,-,-,-,-,-,-,-,-,-,12.31,1.07%
CRF,461.54M,19.85%,-,-,-,-,-,-,-,-,-,-,-,12.10,0.96%
COMG,-,19.74%,-,-,-,-,-,-,-,-,-,-,-,22.42,0.81%
SSI,27.70M,19.42%,-7.10%,-20.00%,-5.60%,2.50,0.30,1.32,1.33,23.80%,-3.20%,-3.70%,Mar 07/b,0.99,-3.88%
CBL,288.01M,19.35%,-2.20%,-11.60%,1.70%,-,-,4.19,4.19,70.60%,9.80%,-14.40%,Apr 30/a,1.51,-2.58%
BPT,576.42M,19.06%,-,-,-,-,-,0.00,0.00,-,99.00%,99.00%,Mar 07,26.77,0.64%
NNA,84.67M,19.05%,-5.50%,-20.80%,-,2.50,2.50,3.17,0.00,-,-,-,May 08/b,6.09,-3.33%
MSB,384.28M,18.98%,153.60%,228.00%,316.00%,3.30,3.30,0.00,0.00,-,97.30%,97.00%,Apr 11/a,29.86,1.93%
