Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,99.97M,656.43%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,Dec 11/b,1.40,0.00%
SWZ,291.50M,255.40%,-,-,-,-,-,-,-,-,-,-,-,7.69,0.00%
VMIN,-,146.21%,-,-,-,-,-,-,-,-,-,-,-,2.77,0.00%
KEN,911.95M,73.82%,-,-,-1.50%,2.00,-,0.71,0.81,20.70%,-,-,Nov 26/b,16.73,0.00%
OXBR,5.63M,45.71%,-88.10%,-164.90%,-148.10%,-,-,0.14,0.14,-,-,-,Nov 20/a,1.05,0.00%
NAUH,11.26M,42.53%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Oct 10/a,0.42,0.00%
WHLR,31.92M,41.59%,-4.70%,-98.90%,0.10%,-,-,20.33,20.33,73.40%,3.30%,-37.30%,Nov 06/a,3.27,0.00%
ATAI,25.22M,39.42%,-14.50%,-34.60%,6.80%,1.20,1.20,0.00,0.07,47.20%,-,-27.50%,Nov 15/a,1.04,0.00%
SNMP,125.08M,39.22%,-,-,-0.10%,0.80,0.80,-,-,71.80%,2.60%,-,Nov 09/b,4.59,0.00%
PMTS,31.26M,31.58%,-10.70%,20.30%,-4.80%,2.20,2.00,-,-,29.60%,-8.00%,-9.90%,Nov 07/b,2.85,0.00%
FGP,166.92M,24.84%,-16.00%,31.90%,-7.40%,1.30,1.00,-,-,37.60%,-4.40%,-12.20%,Sep 27/b,1.61,0.00%
VEDL,10.27B,24.19%,0.80%,2.50%,13.40%,0.80,0.70,0.45,0.98,28.20%,24.50%,1.50%,Nov 09/b,10.79,0.00%
PER,114.12M,23.00%,18.90%,18.90%,19.30%,-,-,0.00,0.00,94.90%,83.10%,83.40%,Nov 20/a,2.00,0.00%
EXD,-,22.67%,-,-,-,-,-,-,-,-,-,-,-,8.47,0.00%
SMHD,-,22.29%,-,-,-,-,-,-,-,-,-,-,-,16.15,0.00%
MRRL,-,22.28%,-,-,-,-,-,-,-,-,-,-,-,14.59,0.00%
MORL,-,22.24%,-,-,-,-,-,-,-,-,-,-,-,14.66,0.00%
CLM,569.51M,22.22%,-,-,-,-,-,-,-,-,-,-,-,12.78,0.00%
CRF,281.78M,22.17%,-,-,-,-,-,-,-,-,-,-,-,12.45,0.00%
CLRO,11.31M,21.37%,-25.20%,-29.40%,-20.00%,5.10,2.60,0.00,0.00,54.60%,-58.20%,-49.60%,Nov 21/a,1.31,0.00%
REML,-,20.74%,-,-,-,-,-,-,-,-,-,-,-,25.65,0.00%
PEX,-,20.37%,-,-,-,-,-,-,-,-,-,-,-,33.72,0.00%
CEFL,-,20.27%,-,-,-,-,-,-,-,-,-,-,-,14.01,0.00%
VOC,76.82M,20.23%,11.00%,11.00%,10.80%,-,-,0.00,0.00,-,90.50%,91.50%,Nov 15,4.35,0.00%
DRAD,22.29M,20.00%,-32.80%,-68.00%,-47.30%,1.80,1.40,0.50,0.00,20.30%,-3.70%,-18.00%,Nov 02/b,1.10,0.00%
SDR,53.62M,19.05%,23.10%,23.10%,24.80%,-,-,0.00,0.00,94.20%,72.10%,71.90%,Nov 20,1.05,0.00%
GOV,900.74M,18.96%,1.20%,3.20%,1.50%,-,-,1.73,1.73,67.90%,6.90%,9.70%,Nov 01/b,9.07,0.00%
MVO,105.69M,18.86%,-,-,48.70%,-,-,-,-,-,-,-,Nov 15,8.80,0.00%
CGA,23.13M,18.85%,-1.40%,-1.70%,5.70%,4.90,4.30,0.02,0.03,25.80%,10.40%,-2.40%,Nov 21/b,0.53,0.00%
SDT,29.28M,18.50%,17.60%,17.60%,20.50%,-,-,0.00,0.00,88.60%,63.20%,64.10%,Nov 20/a,0.97,0.00%
MLPQ,-,18.31%,-,-,-,-,-,-,-,-,-,-,-,29.22,0.00%
BPT,669.84M,18.24%,-,-,9628.50%,-,-,-,-,-,-,-,Nov 15,29.01,0.00%
NNA,69.26M,18.18%,-4.10%,-14.30%,2.30%,1.00,1.00,2.41,2.53,83.90%,-2.70%,-33.10%,Nov 06/b,0.44,0.00%
BDCL,-,17.89%,-,-,-,-,-,-,-,-,-,-,-,14.25,0.00%
LBDC,-,17.79%,-,-,-,-,-,-,-,-,-,-,-,14.39,0.00%
AI,257.34M,17.77%,-1.40%,-18.20%,0.40%,-,-,0.24,13.77,8.10%,-,-73.80%,Oct 23/a,8.44,0.00%
AMJL,-,17.65%,-,-,-,-,-,-,-,-,-,-,-,15.75,0.00%
NAP,61.74M,17.61%,-,-,6.50%,5.60,5.60,0.90,0.90,93.40%,-,-,Nov 15/b,2.84,0.00%
BCRH,65.42M,17.32%,-2.10%,-3.00%,-34.00%,-,-,0.00,0.00,-,-11.20%,-11.20%,Oct 29,6.93,0.00%
EUFL,-,17.09%,-,-,-,-,-,-,-,-,-,-,-,29.26,0.00%
NDP,-,17.07%,-,-,-,-,-,-,-,-,-,-,-,10.25,0.00%
MMLP,459.04M,16.78%,4.70%,27.00%,5.40%,2.30,1.00,99.81,99.81,30.20%,5.60%,5.50%,Oct 24/a,11.92,0.00%
BKEP,82.28M,16.17%,-4.50%,-3.80%,3.80%,1.10,1.10,0.63,0.63,53.00%,7.50%,-5.40%,Oct 31/a,1.98,0.00%
LMLP,-,15.78%,-,-,-,-,-,-,-,-,-,-,-,14.01,0.00%
SMLP,1.12B,15.60%,2.20%,6.40%,-2.10%,1.10,1.10,1.26,1.26,64.00%,-10.10%,13.10%,Nov 08/a,14.74,0.00%
MDLY,156.40M,15.50%,-2.00%,26.80%,20.10%,-,-,-,-,-,26.00%,-3.60%,Nov 14/b,5.16,0.00%
DVHL,-,15.49%,-,-,-,-,-,-,-,-,-,-,-,17.88,0.00%
OXLC,345.72M,15.43%,-,-,-,-,-,-,-,-,-,-,Nov 05/b,10.50,0.00%
ZF,201.07M,15.42%,-,-,-,-,-,-,-,-,-,-,-,9.34,0.00%
NGL,1.26B,15.38%,-2.10%,-7.20%,2.40%,2.00,1.50,1.74,1.74,3.30%,0.60%,-0.70%,Nov 08/b,10.14,0.00%
TCRD,232.96M,15.15%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,7.13,0.00%
CELP,67.14M,15.03%,5.30%,26.80%,2.70%,3.10,3.10,2.43,2.43,13.10%,5.30%,2.90%,Nov 12/a,5.59,0.00%
EDI,-,14.96%,-,-,-,-,-,-,-,-,-,-,-,12.10,0.00%
RIV,-,14.87%,-,-,-,-,-,-,-,-,-,-,-,16.95,0.00%
PVL,87.43M,14.81%,-,-,47.50%,-,-,-,-,-,-,-,Nov 09,2.70,0.00%
AVH,217.88M,14.81%,-0.10%,-0.30%,5.30%,0.50,0.50,2.88,3.37,44.90%,5.60%,-0.10%,Nov 13,5.20,0.00%
CVRR,2.58B,14.69%,17.40%,30.40%,11.40%,1.90,1.20,0.37,0.37,7.90%,6.60%,6.20%,Oct 24/a,17.15,0.00%
ORC,341.38M,14.61%,-0.60%,-5.70%,0.10%,-,-,0.00,8.45,-35.30%,-45.70%,-45.90%,Oct 25/a,6.57,0.00%
USAC,1.40B,14.59%,-1.40%,-4.60%,-,1.30,0.80,1.21,1.21,62.20%,8.20%,-8.20%,Nov 06/b,14.39,0.00%
WPG,1.27B,14.58%,1.70%,8.80%,9.40%,-,-,3.86,3.86,67.90%,32.50%,10.30%,Oct 24/a,6.86,0.00%
HCLP,606.97M,14.49%,16.80%,24.80%,9.40%,2.70,2.20,0.53,0.53,30.10%,24.10%,22.80%,Oct 30/a,6.21,0.00%
GGN,563.06M,14.46%,-,-,-,-,-,-,-,-,-,-,-,4.15,0.00%
GARS,124.85M,14.45%,2.30%,5.50%,4.10%,-,-,1.35,1.35,59.30%,44.90%,26.20%,Nov 06/a,7.75,0.00%
FPL,-,14.45%,-,-,-,-,-,-,-,-,-,-,-,8.72,0.00%
CCLP,233.26M,14.29%,-5.30%,-54.80%,-0.10%,1.80,1.00,9.81,9.81,33.40%,3.60%,-12.70%,Nov 07/b,5.25,0.00%
MSB,357.23M,14.17%,164.20%,242.70%,316.00%,9.90,9.90,0.00,0.00,-,97.50%,97.30%,Nov 15/a,26.54,0.00%
ZTR,240.53M,13.85%,-,-,-,-,-,-,-,-,-,-,-,9.82,0.00%
IFN,567.49M,13.83%,-,-,-,-,-,-,-,-,-,-,-,20.53,0.00%
ECT,32.43M,13.83%,-,-,11.20%,-,-,-,-,-,-,-,Nov 15/b,1.88,0.00%
SRLP,426.59M,13.82%,3.10%,21.90%,7.00%,1.80,1.00,3.52,3.92,7.90%,2.20%,1.00%,Nov 07/b,19.32,0.00%
EARN,135.58M,13.75%,0.00%,-0.20%,1.40%,-,-,0.00,8.82,37.10%,34.30%,-0.80%,Nov 05/a,10.76,0.00%
ECC,373.07M,13.73%,-,-,-,-,-,-,-,-,-,-,Nov 14/b,17.48,0.00%
USDP,280.10M,13.58%,7.90%,29.70%,11.30%,2.40,2.20,2.65,2.65,62.10%,25.20%,20.60%,Nov 05/a,10.53,0.00%
MNDO,42.17M,13.45%,20.30%,27.20%,23.70%,4.10,4.10,0.00,0.00,64.10%,28.30%,28.30%,Nov 12/b,2.23,0.00%
TEO,2.29B,13.41%,-0.60%,-1.20%,23.70%,0.50,0.40,0.24,0.52,79.50%,20.10%,-0.90%,Nov 30/a,17.15,0.00%
NYMT,860.04M,13.09%,0.80%,13.90%,0.80%,-,-,13.61,13.61,30.40%,24.50%,19.40%,Nov 05/a,6.11,0.00%
MLPZ,-,13.00%,-,-,-,-,-,-,-,-,-,-,-,34.39,0.00%
CAPL,557.84M,13.00%,1.70%,11.30%,5.30%,0.70,0.50,4.60,4.62,6.80%,1.30%,0.70%,Nov 07/b,16.16,0.00%
SDLP,290.63M,12.99%,3.00%,14.90%,9.10%,2.10,2.10,2.09,2.31,67.90%,40.70%,17.20%,Nov 20/b,3.08,0.00%
EEQ,1.10B,12.94%,-536.80%,-536.80%,-,-,-,0.00,0.00,-,-,-,Aug 30,10.82,0.00%
EEP,3.54B,12.92%,1.50%,14.40%,12.90%,0.30,-,5.05,5.49,87.60%,43.90%,9.60%,Nov 01/a,10.84,0.00%
WHLRP,-,12.91%,-,-,-,-,-,-,-,-,-,-,-,17.43,0.00%
GPP,469.74M,12.90%,62.50%,-89.70%,88.00%,1.20,1.20,-,-,-,61.00%,54.70%,Nov 08/b,14.73,0.00%
CHKR,77.10M,12.80%,-,-,48.20%,-,-,-,-,94.90%,-,-,Nov 21/b,1.64,0.00%
ANH,426.39M,12.79%,0.70%,6.80%,1.10%,-,-,0.07,8.00,33.70%,28.10%,22.40%,Nov 08/a,4.38,0.00%
EMO,-,12.69%,-,-,-,-,-,-,-,-,-,-,-,10.09,0.00%
KCAP,117.83M,12.62%,-,-,-,-,-,-,-,-,-,-,Nov 06/a,3.17,0.00%
NCZ,412.21M,12.59%,-,-,-,-,-,-,-,-,-,-,-,5.48,0.00%
DLNG,412.13M,12.55%,0.80%,3.30%,6.70%,2.80,2.60,3.19,3.20,79.10%,47.30%,6.00%,Nov 15/a,7.97,0.00%
CPTA,128.17M,12.48%,-,-,-,-,-,-,-,-,-,-,Nov 05/a,8.01,0.00%
PLYM,57.81M,12.33%,-7.00%,992.10%,-1.10%,0.50,0.50,-,-,65.10%,-15.30%,-53.40%,Nov 13/b,12.17,0.00%
CMFN,110.84M,12.32%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,8.12,0.00%
MRCC,236.68M,12.29%,-,-,5.20%,-,-,0.63,0.00,57.30%,55.10%,-,Nov 06/a,11.39,0.00%
GLO,312.58M,12.27%,-,-,-,-,-,-,-,-,-,-,-,9.70,0.00%
TPOR,-,12.27%,-,-,-,-,-,-,-,-,-,-,-,28.45,0.00%
UNIT,3.53B,12.24%,0.40%,-1.10%,8.70%,0.20,0.20,-,-,-,30.80%,1.60%,Nov 01/a,19.60,0.00%
WMC,483.17M,12.23%,-,-,2.20%,-,-,6.68,6.68,49.90%,35.50%,-,Nov 07/a,10.14,0.00%
GECC,87.14M,12.22%,-,-,-,-,-,-,-,-,-,-,Nov 13/b,8.18,0.00%
IAF,119.17M,12.21%,-,-,-,-,-,-,-,-,-,-,-,5.24,0.00%
FMO,375.32M,12.18%,-,-,-,-,-,-,-,-,-,-,-,10.59,0.00%
FTF,211.80M,12.17%,-,-,-,-,-,-,-,-,-,-,-,9.37,0.00%
AGNC,8.39B,12.16%,1.70%,15.20%,-,-,-,0.03,7.22,60.40%,56.10%,54.60%,Oct 24/a,17.76,0.00%
SMTA,500.42M,12.11%,-,-,-0.20%,-,-,9.88,9.88,-,-,-,Nov 09/b,10.90,0.00%
NLY,13.06B,12.00%,2.90%,23.10%,1.60%,-,-,0.64,6.64,67.40%,61.20%,58.60%,Oct 31/a,10.00,0.00%
BKCC,418.41M,12.00%,-,-,-,-,-,-,-,-,-,-,Oct 31/a,6.00,0.00%
DX,357.53M,11.98%,2.90%,23.60%,1.10%,-,-,0.01,6.67,50.50%,-,93.70%,Oct 31/b,6.01,0.00%
OFS,151.82M,11.96%,-,-,-,-,-,-,-,-,-,-,Nov 02/b,11.37,0.00%
FSIC,1.52B,11.95%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,6.36,0.00%
MTEX,42.88M,11.94%,-,-,-4.20%,1.30,0.90,0.04,0.07,80.30%,-,-,Nov 06/b,16.75,0.00%
CNSL,969.09M,11.88%,1.70%,11.90%,1.70%,0.70,0.70,4.77,4.84,56.30%,1.50%,4.40%,Nov 01/b,13.05,0.00%
GLQ,143.00M,11.87%,-,-,-,-,-,-,-,-,-,-,-,12.97,0.00%
OXSQ,327.37M,11.85%,-,-,-,-,-,-,-,-,-,-,Oct 30/b,6.75,0.00%
CPLP,389.69M,11.85%,-1.20%,-1.90%,4.70%,0.50,0.50,0.46,0.52,85.80%,7.10%,-6.50%,Oct 31/b,2.70,0.00%
HDLV,-,11.85%,-,-,-,-,-,-,-,-,-,-,-,25.58,0.00%
PHK,1.06B,11.83%,-,-,-,-,-,-,-,-,-,-,-,8.20,0.00%
SACH,63.89M,11.76%,10.40%,14.10%,7.50%,-,-,0.00,0.40,87.10%,72.90%,73.30%,-,4.08,0.00%
GPM,392.15M,11.76%,-,-,-,-,-,-,-,-,-,-,-,8.16,0.00%
FEN,390.59M,11.75%,-,-,-,-,-,-,-,-,-,-,-,19.74,0.00%
GLV,80.15M,11.71%,-,-,-,-,-,-,-,-,-,-,-,11.44,0.00%
LMRK,315.63M,11.69%,14.40%,33.40%,4.30%,-,-,0.86,0.86,98.40%,63.60%,-,Nov 07/b,12.58,0.00%
NTG,-,11.67%,-,-,-,-,-,-,-,-,-,-,-,14.48,0.00%
DSE,-,11.65%,-,-,-,-,-,-,-,-,-,-,-,5.15,0.00%
ENLK,4.86B,11.62%,1.30%,4.60%,4.90%,0.80,0.70,1.52,1.68,-,6.00%,1.60%,Nov 06/a,13.42,0.00%
