Action,Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
ADDED,MHLD,66.78M,26.93%,-9.00%,-131.80%,-126.60%,-,-,2.85,2.85,-,-20.00%,-26.30%,Mar 27/b,0.73,-1.08%
ADDED,FEDU,86.29M,23.60%,1.40%,1.90%,5.40%,3.30,3.30,0.00,0.00,54.10%,9.80%,3.90%,Apr 29/b,1.87,5.06%
ADDED,ACET,5.90M,23.00%,-54.60%,-475.30%,-69.50%,1.00,0.60,2.65,6.30,12.80%,-46.00%,-61.10%,Feb 07/a,0.18,4.68%
ADDED,COMG,-,19.74%,-,-,-,-,-,-,-,-,-,-,-,22.42,0.81%
ADDED,NNA,84.67M,19.05%,-5.50%,-20.80%,-,2.50,2.50,3.17,0.00,-,-,-,May 08/b,6.09,-3.33%
ADDED,MTR,23.38M,18.00%,66.50%,79.80%,94.50%,3.50,3.50,0.00,0.00,-,89.00%,93.50%,Apr 10,12.74,1.95%
ADDED,MLPZ,-,17.34%,-,-,-,-,-,-,-,-,-,-,-,35.60,2.21%
ADDED,EDF,-,16.56%,-,-,-,-,-,-,-,-,-,-,-,13.21,1.29%
ADDED,LBY,66.51M,16.55%,-1.10%,-12.80%,3.80%,2.00,0.80,7.88,7.97,19.30%,3.40%,-1.00%,Feb 20/a,2.96,4.23%
ADDED,USOI,-,16.38%,-,-,-,-,-,-,-,-,-,-,-,23.50,0.01%
ADDED,JP,124.41M,16.35%,11.40%,15.60%,22.00%,3.30,3.30,0.00,0.00,55.70%,24.50%,17.90%,Apr 08/b,3.71,1.09%
ADDED,JQC,1.05B,16.04%,-,-,-,-,-,-,-,-,-,-,-,7.84,1.36%
ADDED,CEN,-,15.01%,-,-,-,-,-,-,-,-,-,-,-,8.40,0.90%
ADDED,AMZA,-,14.09%,-,-,-,-,-,-,-,-,-,-,-,6.01,0.84%
ADDED,TWO,3.65B,13.90%,-0.40%,-3.50%,-0.20%,-,-,0.44,7.50,20.30%,-,-14.30%,May 08/a,13.59,0.41%
ADDED,AM,6.83B,13.64%,142.30%,244.20%,-,0.20,0.20,0.00,0.00,-,-,-,Feb 13/a,14.14,2.61%
ADDED,MPVD,184.81M,13.64%,-,-,-,-,-,-,-,-,-,-,Mar 20/a,0.90,2.28%
ADDED,NAO,18.20M,13.56%,-,-,-6.50%,6.70,6.10,0.60,0.60,89.80%,-,-,Mar 13/b,3.00,1.69%
ADDED,CSS,53.01M,13.36%,-18.90%,-29.70%,-12.00%,1.80,1.10,0.00,0.28,22.10%,-17.70%,-17.50%,May 09/a,5.99,0.00%
ADDED,NRT,64.81M,12.79%,380.40%,-,6403.40%,1.00,1.00,0.00,0.00,89.80%,90.70%,89.90%,Feb 21,6.99,1.60%
ADDED,BBVA,37.76B,12.74%,0.70%,10.90%,10.20%,-,-,1.36,1.36,-,45.60%,16.80%,May 03/b,5.98,4.35%
ADDED,FSK,3.18B,12.56%,-,-,-,-,-,-,-,-,-,-,Feb 27/a,6.11,1.07%
ADDED,VGI,-,12.33%,-,-,-,-,-,-,-,-,-,-,-,12.39,1.14%
ADDED,HIE,-,12.23%,-,-,-,-,-,-,-,-,-,-,-,11.48,0.95%
ADDED,WES,14.15B,12.21%,4.10%,37.20%,10.80%,0.60,0.60,5.03,5.06,78.30%,31.40%,18.60%,Feb 14/a,31.50,0.45%
ADDED,COHN,8.70M,12.05%,-0.10%,-6.60%,0.10%,-,-,1.70,147.25,82.90%,7.20%,-5.00%,Mar 12/b,6.35,-4.37%
ADDED,NCV,577.92M,12.04%,-,-,-,-,-,-,-,-,-,-,Apr 08,6.51,0.54%
ADDED,IRR,-,12.01%,-,-,-,-,-,-,-,-,-,-,-,5.35,-1.11%
ADDED,ACP,-,11.88%,-,-,-,-,-,-,-,-,-,-,-,12.19,0.59%
ADDED,GSM,354.30M,11.71%,4.90%,11.30%,1.80%,1.90,0.70,0.54,0.56,36.50%,8.40%,4.70%,Feb 25/a,2.15,4.88%
ADDED,EOD,-,11.45%,-,-,-,-,-,-,-,-,-,-,-,5.27,0.57%
ADDED,DMLP,589.07M,11.34%,58.10%,60.70%,63.60%,62.00,62.00,0.00,0.00,92.50%,73.50%,70.90%,Mar 07,18.72,2.52%
ADDED,GNL,1.62B,11.27%,0.00%,0.00%,2.10%,-,-,1.24,0.00,79.80%,24.80%,0.10%,Feb 27/b,18.77,-0.69%
ADDED,BCV,113.08M,11.23%,-,-,-,-,-,-,-,-,-,-,-,21.58,0.94%
ADDED,OCCI,44.71M,11.20%,-,-,-,-,-,-,-,-,-,-,-,18.04,1.05%
ADDED,CLNC,2.03B,11.11%,-2.00%,-5.80%,0.30%,-,-,2.07,2.07,67.70%,12.40%,-35.40%,Feb 28/a,15.87,1.34%
ADDED,CRT,68.93M,11.09%,81.70%,97.00%,100.70%,-,-,0.00,0.00,-,94.00%,93.50%,Apr 01,11.32,-1.17%
ADDED,RA,-,11.05%,-,-,-,-,-,-,-,-,-,-,-,21.78,0.73%
ADDED,BKS,406.22M,11.05%,0.30%,1.20%,-25.00%,1.10,0.10,0.27,0.27,30.10%,0.60%,0.10%,Mar 07/b,5.51,1.57%
ADDED,DEX,-,10.96%,-,-,-,-,-,-,-,-,-,-,-,9.77,1.03%
ADDED,JE,507.47M,10.88%,-,-,-,-,-,-,-,-,-,-,May 08/a,3.46,1.76%
ADDED,GGM,-,10.80%,-,-,-,-,-,-,-,-,-,-,-,20.44,1.27%
ADDED,COMT,-,10.80%,-,-,-,-,-,-,-,-,-,-,-,33.34,0.82%
ADDED,GNT,-,10.62%,-,-,-,-,-,-,-,-,-,-,-,5.56,-1.52%
ADDED,REMX,-,10.56%,-,-,-,-,-,-,-,-,-,-,-,16.20,3.09%
ADDED,BGCP,2.64B,10.55%,3.00%,21.40%,6.10%,-,-,0.99,1.00,99.00%,8.40%,10.00%,Feb 14/b,5.46,2.85%
ADDED,PNNT,470.07M,10.42%,-,-,-,-,-,-,-,-,-,-,May 09/a,6.99,1.19%
ADDED,HSBC,161.57B,10.35%,-,-,6.00%,-,-,1.42,1.42,-,-,-,Feb 20,41.81,3.03%
ADDED,SRV,-,10.34%,-,-,-,-,-,-,-,-,-,-,-,10.65,1.96%
ADDED,CGBD,897.47M,10.22%,1.90%,3.50%,5.40%,-,-,0.48,0.90,53.70%,52.30%,18.80%,Feb 26/a,14.69,1.45%
ADDED,HEQ,-,10.19%,-,-,-,-,-,-,-,-,-,-,-,14.80,0.51%
ADDED,AFIN,1.14B,10.19%,-1.20%,-2.30%,-0.10%,-,-,0.75,0.95,73.50%,-1.10%,-12.80%,Mar 06/b,10.75,-0.46%
ADDED,SALM,64.21M,10.18%,-0.60%,-1.40%,3.20%,0.80,0.80,1.05,1.14,22.30%,6.70%,-1.20%,Mar 12/a,2.58,0.98%
ADDED,AUO,3.49B,10.16%,2.40%,5.00%,0.90%,1.20,1.00,0.28,0.43,9.10%,1.90%,3.30%,Apr 30/b,3.64,0.14%
ADDED,ARI,2.45B,10.11%,3.90%,7.80%,4.60%,-,-,0.98,0.98,71.60%,56.90%,46.90%,Feb 13/a,18.30,0.55%
ADDED,AHT,500.98M,10.11%,-3.60%,-33.30%,1.80%,-,-,8.68,8.68,31.80%,5.70%,-11.90%,Feb 28/a,4.89,3.05%
ADDED,QUAD,625.34M,10.08%,0.30%,1.70%,4.80%,1.10,0.80,2.02,2.13,18.20%,1.40%,0.20%,May 01/b,12.12,1.81%
REMOVED,VMIN,-,138.91%,-,-,-,-,-,-,-,-,-,-,-,2.76,0.31%
REMOVED,KEN,861.28M,77.19%,-,-,-1.50%,2.00,-,0.71,0.81,20.70%,-,-,Nov 26/b,16.00,0.00%
REMOVED,ATAI,23.59M,39.81%,-16.40%,-38.30%,6.80%,6.90,6.90,0.00,0.05,48.50%,-18.80%,-36.10%,Nov 15/a,1.03,0.00%
