Action,Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
REMOVED,PMTS,31.92M,31.47%,-20.20%,34.00%,-4.80%,2.40,2.10,-,-,30.20%,-6.60%,-17.70%,Nov 07/b,2.85,-0.35%
REMOVED,EXD,-,22.91%,-,-,-,-,-,-,-,-,-,-,-,8.35,-0.36%
REMOVED,PEX,-,20.22%,-,-,-,-,-,-,-,-,-,-,-,32.84,-1.01%
REMOVED,NAP,53.24M,19.69%,-,-,6.50%,5.60,5.60,0.90,0.90,93.40%,-,-,Nov 15/b,2.51,-1.18%
REMOVED,GOV,879.00M,19.41%,1.20%,3.20%,1.50%,-,-,1.73,1.73,67.90%,6.90%,9.70%,Nov 01/b,8.78,-0.90%
REMOVED,EUFL,-,16.53%,-,-,-,-,-,-,-,-,-,-,-,27.46,-4.45%
REMOVED,VEDL,10.69B,16.09%,0.80%,2.50%,13.40%,0.80,0.70,0.45,0.98,28.20%,24.50%,1.50%,Nov 09/b,11.15,-3.59%
REMOVED,CCLP,211.20M,15.92%,-5.30%,-54.80%,-0.10%,1.80,1.00,9.81,9.81,31.80%,3.20%,-11.30%,Nov 07/b,4.61,-2.12%
REMOVED,CVRR,2.36B,15.79%,17.40%,30.40%,11.40%,1.90,1.20,0.37,0.37,7.90%,6.60%,6.20%,Oct 24/a,15.30,-4.12%
REMOVED,FPL,-,14.70%,-,-,-,-,-,-,-,-,-,-,-,8.45,-1.40%
REMOVED,LADR,1.89B,13.39%,3.20%,15.60%,2.20%,-,-,3.51,3.51,72.00%,42.20%,31.40%,Nov 01/a,16.92,-0.64%
REMOVED,SDLP,277.30M,13.25%,3.00%,14.90%,9.10%,2.10,2.10,2.09,2.31,67.90%,40.70%,17.20%,Nov 27/b,2.90,-3.97%
REMOVED,NAT,433.04M,13.11%,-20.40%,-33.10%,-16.00%,2.90,2.50,0.53,0.57,10.70%,-76.80%,-89.60%,Nov 12/b,3.01,-1.31%
REMOVED,EMO,-,13.07%,-,-,-,-,-,-,-,-,-,-,-,9.50,-2.96%
REMOVED,SBR,554.04M,12.76%,583.50%,822.60%,755.00%,-,-,0.00,0.00,-,94.40%,94.30%,Nov 20,37.67,-0.87%
REMOVED,EEQ,1.13B,12.64%,-536.80%,-536.80%,-,-,-,0.00,0.00,-,-,-,Aug 30,10.90,-1.62%
REMOVED,EEP,3.62B,12.61%,1.50%,14.40%,12.90%,0.30,-,5.05,5.49,87.60%,43.90%,9.60%,Nov 01/a,10.91,-1.71%
REMOVED,HCLP,720.21M,12.61%,16.80%,24.80%,9.40%,2.70,2.20,0.53,0.53,30.10%,24.10%,22.80%,Oct 30/a,6.74,-5.60%
REMOVED,UNIT,3.41B,12.61%,0.40%,-1.10%,8.70%,0.20,0.20,-,-,-,30.80%,1.60%,Nov 01/a,18.87,-0.89%
REMOVED,FSIC,1.47B,12.36%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,5.99,-2.52%
REMOVED,ATTO,413.21M,12.16%,-,-,9.40%,1.50,1.50,1.35,1.49,-,-,-,Nov 12/a,5.44,-2.68%
REMOVED,MTEX,39.89M,11.93%,-,-,-4.20%,1.30,0.90,0.04,0.07,80.30%,-,-,Nov 06/b,16.95,1.16%
REMOVED,TPOR,-,11.92%,-,-,-,-,-,-,-,-,-,-,-,27.81,-6.89%
REMOVED,SITC,2.09B,11.87%,-5.00%,-15.50%,-3.10%,-,-,1.65,1.65,71.90%,-16.40%,-40.50%,Oct 24/a,11.18,-1.02%
REMOVED,CTR,-,11.86%,-,-,-,-,-,-,-,-,-,-,-,9.52,-2.66%
REMOVED,CBA,-,11.85%,-,-,-,-,-,-,-,-,-,-,-,6.75,0.00%
REMOVED,ENLK,4.74B,11.62%,1.30%,4.60%,4.90%,0.80,0.70,1.52,1.68,-,6.00%,1.60%,Nov 06/a,13.15,-2.08%
REMOVED,MCC,188.48M,11.56%,-,-,-,-,-,-,-,-,-,-,Dec 04/b,3.53,2.02%
REMOVED,CHI,691.87M,11.55%,-,-,-,-,-,-,-,-,-,-,-,9.71,-1.60%
REMOVED,PGP,136.17M,11.54%,-,-,-,-,-,-,-,-,-,-,-,12.40,-1.98%
REMOVED,PLYM,62.66M,11.54%,-7.00%,394.10%,-1.10%,0.50,0.50,-,-,64.10%,-15.60%,-53.30%,Nov 13/b,13.10,0.77%
REMOVED,CEM,-,11.41%,-,-,-,-,-,-,-,-,-,-,-,12.18,-2.17%
REMOVED,CTL,20.56B,11.35%,2.40%,7.70%,2.90%,0.80,0.80,1.57,1.60,53.40%,12.60%,7.80%,Nov 08/a,18.49,-2.84%
REMOVED,KYN,2.00B,11.32%,-,-,-,-,-,-,-,-,-,-,-,15.46,-2.77%
REMOVED,MRT,236.40M,11.32%,1.90%,3.40%,5.60%,-,-,0.78,0.78,96.60%,44.20%,19.60%,Nov 09/a,7.34,-1.08%
REMOVED,CHY,775.06M,11.29%,-,-,-,-,-,-,-,-,-,-,-,10.47,-1.49%
REMOVED,LMRK,330.15M,11.25%,14.40%,33.40%,4.30%,-,-,0.86,0.86,98.40%,63.60%,-,Nov 07/b,13.05,-0.15%
REMOVED,ABDC,87.19M,11.16%,-,-,-,-,-,-,-,-,-,-,Nov 05,6.36,-1.32%
REMOVED,AWP,468.04M,10.95%,-,-,-,-,-,-,-,-,-,-,-,5.45,-0.55%
REMOVED,KMF,-,10.89%,-,-,-,-,-,-,-,-,-,-,-,10.71,-2.81%
REMOVED,HCFT,81.93M,10.69%,0.50%,9.00%,0.20%,-,-,0.17,0.17,-45.30%,29.60%,21.90%,Nov 15/a,3.44,-0.58%
REMOVED,EXG,-,10.68%,-,-,-,-,-,-,-,-,-,-,-,8.39,-1.53%
REMOVED,CCD,-,10.64%,-,-,-,-,-,-,-,-,-,-,-,18.29,-2.74%
REMOVED,NRO,214.34M,10.62%,-,-,-,-,-,-,-,-,-,-,-,4.52,-0.02%
REMOVED,DBD,286.97M,10.61%,-10.60%,-190.90%,-1.40%,1.50,1.00,-,-,21.70%,-6.30%,-11.70%,Oct 31/b,3.40,-9.81%
REMOVED,SIR,1.73B,10.59%,1.60%,3.70%,3.10%,-,-,1.03,1.03,77.80%,26.50%,16.00%,Oct 29/b,19.24,-0.16%
REMOVED,MFV,38.61M,10.54%,-,-,-,-,-,-,-,-,-,-,-,5.46,1.06%
REMOVED,CIF,44.92M,10.53%,-,-,-,-,-,-,-,-,-,-,-,2.26,-0.88%
REMOVED,FAX,1.01B,10.53%,-,-,-,-,-,-,-,-,-,-,-,3.98,-0.25%
REMOVED,CGO,97.12M,10.49%,-,-,-,-,-,-,-,-,-,-,-,11.27,-1.49%
REMOVED,DHY,236.93M,10.48%,-,-,-,-,-,-,-,-,-,-,-,2.29,-0.22%
REMOVED,IRS,754.69M,10.47%,5.40%,48.10%,11.60%,2.10,2.00,4.84,5.52,40.70%,85.00%,45.30%,Nov 21,13.12,-0.45%
REMOVED,AVK,491.57M,10.41%,-,-,-,-,-,-,-,-,-,-,-,13.39,-1.18%
REMOVED,SHI,7.04B,10.40%,18.20%,26.70%,16.30%,1.60,1.10,0.00,0.05,9.00%,8.50%,8.00%,Nov 20/a,45.70,-0.15%
REMOVED,DKL,758.15M,10.37%,10.50%,37.10%,14.80%,3.70,3.50,4.49,4.49,32.70%,18.20%,9.90%,Nov 06/a,29.44,-3.36%
REMOVED,HIHO,14.70M,10.37%,7.90%,12.30%,12.20%,2.90,2.40,0.00,0.00,35.80%,9.70%,7.90%,Nov 26/b,3.85,-0.21%
REMOVED,HMLP,562.54M,10.36%,5.10%,14.80%,9.60%,0.80,0.70,1.22,1.34,84.00%,72.10%,37.20%,Nov 29/b,16.86,-0.74%
REMOVED,SZC,-,10.35%,-,-,-,-,-,-,-,-,-,-,-,15.60,-1.52%
REMOVED,REM,-,10.32%,-,-,-,-,-,-,-,-,-,-,-,42.69,-0.79%
REMOVED,EFC,479.26M,10.27%,1.70%,9.40%,1.70%,-,-,0.49,3.24,51.10%,32.30%,45.70%,Nov 07/a,15.76,-1.31%
REMOVED,MIE,-,10.27%,-,-,-,-,-,-,-,-,-,-,-,8.64,-3.61%
REMOVED,HCAP,71.23M,10.25%,-,-,-,-,-,-,-,-,-,-,Nov 08/b,11.05,-0.59%
REMOVED,KRP,472.92M,10.22%,-14.80%,-23.70%,0.70%,5.50,5.50,0.60,0.60,-,-93.40%,-,Nov 08/b,17.28,-1.90%
REMOVED,ADES,195.22M,10.20%,42.40%,45.40%,-35.20%,12.10,12.10,0.00,0.00,12.20%,-31.40%,-,Nov 06/a,9.68,-1.22%
REMOVED,DPG,-,10.20%,-,-,-,-,-,-,-,-,-,-,-,13.61,-0.86%
REMOVED,MIC,3.36B,10.19%,6.10%,15.70%,3.60%,1.40,1.40,0.99,1.12,53.90%,16.30%,25.30%,Oct 31/a,38.23,-2.60%
REMOVED,ETW,1.15B,10.17%,-,-,-,-,-,-,-,-,-,-,-,10.54,-1.68%
REMOVED,HTGC,1.18B,10.14%,-,-,-,-,-,-,-,-,-,-,Nov 01/a,12.18,-0.41%
REMOVED,DBL,-,10.11%,-,-,-,-,-,-,-,-,-,-,-,19.45,-1.67%
REMOVED,NCMI,533.05M,10.07%,0.90%,-2.70%,44.00%,2.00,2.00,-,-,70.20%,61.10%,2.30%,Nov 05/a,6.66,-1.33%
REMOVED,INB,-,10.06%,-,-,-,-,-,-,-,-,-,-,-,8.16,-1.09%
REMOVED,SCD,221.91M,10.05%,-,-,-,-,-,-,-,-,-,-,-,12.13,-1.70%
REMOVED,PTY,1.26B,10.05%,-,-,-,-,-,-,-,-,-,-,-,14.90,-4.06%
REMOVED,SCM,216.01M,10.04%,-,-,-,-,-,-,-,-,-,-,Nov 07/b,13.36,-1.33%
REMOVED,YMLP,-,10.03%,-,-,-,-,-,-,-,-,-,-,-,19.47,-1.90%
REMOVED,DDF,89.72M,10.03%,-,-,-,-,-,-,-,-,-,-,-,11.42,-2.14%
