Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,101.39M,625.17%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,Dec 11/b,1.50,2.04%
SWZ,198.21M,250.83%,-,-,-,-,-,-,-,-,-,-,-,7.82,-0.13%
VMIN,-,120.92%,-,-,-,-,-,-,-,-,-,-,-,2.82,2.40%
KEN,847.82M,78.41%,-,-,-1.50%,2.00,-,0.71,0.81,20.70%,-,-,Nov 29/b,15.76,0.06%
OXBR,6.62M,41.03%,-88.10%,-164.90%,-148.10%,-,-,0.14,0.14,-,-,-,Nov 13/a,1.12,-4.27%
WHLR,35.19M,37.57%,-5.00%,-105.30%,0.10%,-,-,20.33,20.33,73.40%,3.60%,-39.80%,Nov 06/a,3.63,0.28%
ATAI,29.07M,36.28%,-14.50%,-34.60%,6.80%,1.20,1.20,0.00,0.07,47.20%,-,-27.50%,Nov 15/a,1.16,2.65%
NAUH,14.20M,32.33%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Oct 10/a,0.58,4.80%
PMTS,31.26M,31.58%,-16.90%,32.20%,-4.80%,2.20,2.00,-,-,29.60%,-7.20%,-15.80%,Nov 07/b,2.90,1.75%
FGP,157.81M,23.12%,-16.00%,31.90%,-7.40%,1.30,1.00,-,-,37.60%,-4.40%,-12.20%,Sep 27/b,1.74,0.66%
EXD,-,23.08%,-,-,-,-,-,-,-,-,-,-,-,8.32,0.00%
CLM,558.81M,22.65%,-,-,-,-,-,-,-,-,-,-,-,12.74,1.57%
CRF,278.38M,22.44%,-,-,-,-,-,-,-,-,-,-,-,12.48,1.46%
SNMP,132.00M,21.82%,-6.80%,98.20%,-0.10%,0.80,0.80,-,-,71.80%,5.20%,-48.20%,Nov 09/b,7.97,-3.34%
VEDL,10.80B,21.61%,0.80%,2.50%,13.40%,0.80,0.70,0.45,0.98,28.20%,24.50%,1.50%,Nov 09/b,11.96,-0.99%
MORL,-,20.80%,-,-,-,-,-,-,-,-,-,-,-,14.78,-0.20%
MRRL,-,20.78%,-,-,-,-,-,-,-,-,-,-,-,14.62,-0.43%
REML,-,20.48%,-,-,-,-,-,-,-,-,-,-,-,25.18,0.35%
VOC,78.21M,19.34%,11.00%,11.00%,10.80%,-,-,0.00,0.00,-,90.50%,91.50%,Nov 15,4.45,-2.30%
NNA,57.79M,19.20%,-4.10%,-14.30%,2.30%,1.00,1.00,2.41,2.53,83.90%,-2.70%,-33.10%,Nov 06/b,0.48,15.36%
PEX,-,18.90%,-,-,-,-,-,-,-,-,-,-,-,34.17,0.62%
GOV,950.01M,18.82%,0.50%,1.30%,1.50%,-,-,1.73,1.73,67.60%,6.60%,4.40%,Nov 01/b,9.26,1.31%
CLRO,12.50M,18.79%,-25.20%,-29.40%,-20.00%,5.10,2.60,0.00,0.00,54.60%,-58.20%,-49.60%,Nov 14/a,1.50,0.67%
DRAD,26.14M,18.49%,-43.40%,-84.90%,-47.30%,1.70,1.20,0.42,0.00,21.80%,-6.80%,-26.40%,Nov 02/b,1.21,1.68%
SMHD,-,18.35%,-,-,-,-,-,-,-,-,-,-,-,16.46,-0.03%
PER,130.76M,18.25%,18.90%,18.90%,19.30%,-,-,0.00,0.00,94.90%,83.10%,83.40%,Nov 13/a,2.54,0.79%
AI,244.77M,17.67%,-1.00%,-13.00%,0.40%,-,-,0.25,12.82,8.10%,-,-55.90%,Oct 23/a,8.59,1.18%
CEFL,-,17.60%,-,-,-,-,-,-,-,-,-,-,-,14.15,0.82%
AMJL,-,16.93%,-,-,-,-,-,-,-,-,-,-,-,15.52,-2.73%
NDP,-,16.76%,-,-,-,-,-,-,-,-,-,-,-,10.48,0.38%
SNR,446.94M,16.76%,0.30%,1.90%,-2.30%,5.50,5.50,4.75,4.75,73.40%,-12.10%,2.00%,Nov 01/b,5.49,1.10%
MVO,118.60M,16.60%,64.40%,64.40%,48.70%,-,-,0.00,0.00,-,92.00%,92.80%,Nov 15,9.53,-4.67%
NAP,59.68M,16.56%,-3.90%,-7.30%,6.50%,7.00,7.00,0.91,0.91,93.40%,35.60%,-20.40%,Nov 15/b,3.11,2.99%
BPT,691.65M,16.37%,-,-,9628.50%,-,-,0.00,0.00,-,98.50%,98.60%,Nov 15,31.80,-1.61%
CCLP,198.81M,16.20%,-5.40%,-49.50%,-0.10%,2.30,1.50,9.48,9.48,33.40%,2.50%,-12.70%,Nov 07/b,4.64,0.22%
SDR,59.14M,15.87%,23.10%,23.10%,24.80%,-,-,0.00,0.00,94.20%,72.10%,71.90%,Nov 13,1.27,0.79%
LBDC,-,15.68%,-,-,-,-,-,-,-,-,-,-,-,14.58,2.51%
BDCL,-,15.67%,-,-,-,-,-,-,-,-,-,-,-,14.56,1.39%
CGA,25.17M,15.63%,-1.40%,-1.70%,5.70%,4.90,4.30,0.02,0.03,25.80%,10.40%,-2.40%,Nov 14/b,0.64,0.50%
CHKR,74.77M,15.53%,-,-,48.20%,-,-,-,-,94.90%,-,-,Nov 14/b,1.63,1.34%
BKEP,87.24M,15.31%,-4.50%,-3.80%,3.80%,1.10,1.10,0.63,0.63,53.00%,7.50%,-5.40%,Oct 31/a,2.13,1.91%
BPL,4.86B,15.30%,4.60%,9.90%,7.20%,1.00,0.70,1.02,1.06,41.20%,17.10%,11.70%,Nov 02/b,33.00,0.00%
OXLC,350.33M,15.23%,-,-,-,-,-,-,-,-,-,-,Nov 05/b,10.74,0.94%
NGL,1.22B,15.22%,-3.90%,-13.60%,2.40%,2.00,1.50,1.74,1.74,2.60%,0.00%,-1.30%,Nov 08/b,10.22,-0.29%
EDI,-,15.02%,-,-,-,-,-,-,-,-,-,-,-,12.04,-0.08%
MMLP,527.86M,14.99%,4.70%,27.00%,5.40%,2.30,1.00,99.81,99.81,30.20%,5.60%,5.50%,Oct 24/a,12.51,-6.22%
BCRH,68.97M,14.96%,-25.30%,-37.20%,-34.00%,-,-,0.00,0.00,-,-,-,Oct 29,7.85,-2.10%
WPG,1.26B,14.93%,1.70%,8.80%,9.40%,-,-,3.86,3.86,67.90%,32.50%,10.30%,Oct 24/a,6.70,0.00%
RIV,-,14.72%,-,-,-,-,-,-,-,-,-,-,-,17.18,0.35%
ECT,31.47M,14.69%,9.00%,9.20%,11.20%,-,-,0.00,0.00,-,79.00%,79.50%,Nov 15/b,1.78,0.40%
MDLY,165.24M,14.68%,-2.00%,26.80%,20.10%,-,-,-,-,-,26.00%,-3.60%,Nov 13/b,5.40,-0.92%
FPL,-,14.63%,-,-,-,-,-,-,-,-,-,-,-,8.64,0.35%
PVL,90.06M,14.60%,49.90%,49.90%,47.50%,-,-,0.00,0.00,-,98.20%,98.40%,Nov 02,2.75,0.36%
CHW,460.84M,14.60%,-,-,-,-,-,-,-,-,-,-,-,7.88,0.92%
ORC,342.49M,14.59%,-0.60%,-5.70%,0.10%,-,-,0.00,8.45,-35.30%,-45.70%,-45.90%,Oct 25/a,6.62,0.61%
MLPQ,-,14.57%,-,-,-,-,-,-,-,-,-,-,-,29.55,-0.34%
HCLP,685.60M,14.52%,16.80%,24.80%,9.40%,2.70,2.20,0.53,0.53,30.10%,24.10%,22.80%,Oct 30/a,6.43,3.71%
SMLP,1.20B,14.48%,-0.10%,-0.20%,-2.10%,1.10,1.10,1.26,1.26,64.00%,-7.80%,-0.40%,Nov 08/a,14.97,-5.73%
SMRT,93.60M,14.42%,-1.80%,-17.00%,-8.40%,1.10,0.20,0.87,3.10,26.90%,-0.60%,-0.70%,Nov 14/a,2.18,4.82%
CVRR,2.78B,14.40%,17.40%,30.40%,11.40%,1.90,1.20,0.37,0.37,7.90%,6.60%,6.20%,Oct 24/a,17.14,-2.06%
AVH,222.64M,14.26%,-0.10%,-0.30%,5.30%,0.50,0.50,2.88,3.37,44.90%,5.60%,-0.10%,Nov 13/a,5.33,-1.30%
TCRD,247.99M,14.23%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,7.63,0.53%
ECC,360.69M,14.20%,-,-,-,-,-,-,-,-,-,-,Nov 14/b,16.93,0.18%
GGN,573.91M,14.18%,-,-,-,-,-,-,-,-,-,-,-,4.19,-0.95%
EARN,133.42M,14.18%,0.30%,2.70%,1.40%,-,-,0.00,8.82,41.70%,38.90%,9.30%,Nov 05/a,10.71,2.59%
MSB,352.45M,14.14%,164.20%,242.70%,316.00%,9.90,9.90,0.00,0.00,-,97.50%,97.30%,Nov 15/a,26.26,-1.28%
GARS,127.44M,13.97%,3.10%,7.00%,4.10%,-,-,1.29,1.29,59.30%,46.10%,33.80%,Nov 06/a,8.06,0.45%
USAC,1.35B,13.93%,-1.00%,-3.40%,-,1.40,0.90,1.11,1.11,63.40%,7.10%,-5.90%,Nov 06/b,14.45,-4.13%
EUFL,-,13.75%,-,-,-,-,-,-,-,-,-,-,-,29.74,0.00%
DVHL,-,13.75%,-,-,-,-,-,-,-,-,-,-,-,18.04,0.04%
IFN,575.51M,13.64%,-,-,-,-,-,-,-,-,-,-,-,20.59,-1.10%
SDT,35.78M,13.53%,17.60%,17.60%,20.50%,-,-,0.00,0.00,88.60%,63.20%,64.10%,Nov 13/a,1.29,-3.26%
USDP,283.82M,13.40%,7.20%,27.30%,11.30%,2.40,2.20,2.65,2.65,62.10%,24.50%,18.90%,Nov 05/a,10.47,-1.87%
MNDO,42.92M,13.39%,20.30%,27.20%,23.70%,4.10,4.10,0.00,0.00,64.10%,28.30%,28.30%,Nov 12/b,2.25,0.45%
CAPL,575.15M,13.26%,1.50%,9.10%,5.30%,0.80,0.60,4.14,4.16,7.10%,1.30%,0.60%,Nov 06/a,15.34,-3.16%
ANH,426.94M,12.93%,0.50%,4.90%,1.10%,-,-,0.07,7.70,37.10%,22.80%,17.30%,Nov 08/a,4.36,0.58%
KCAP,115.22M,12.90%,-,-,-,-,-,-,-,-,-,-,Nov 06/a,3.10,0.00%
EEQ,1.09B,12.80%,-,-,-,-,-,0.00,0.00,-,-,-,Aug 30,10.80,-1.28%
WHLRP,-,12.77%,-,-,-,-,-,-,-,-,-,-,-,17.75,0.74%
EEP,3.61B,12.76%,1.50%,14.40%,12.90%,0.30,-,5.05,5.49,88.10%,42.80%,9.40%,Nov 01/a,10.78,-1.69%
NYMT,856.04M,12.70%,0.80%,14.10%,0.80%,-,-,14.52,14.52,30.30%,24.00%,19.40%,Nov 05/a,6.27,-0.47%
GPP,480.99M,12.69%,61.90%,-90.80%,88.00%,1.20,1.20,-,-,-,60.20%,54.40%,Nov 08/b,14.91,-0.39%
LMLP,-,12.53%,-,-,-,-,-,-,-,-,-,-,-,14.52,1.65%
EMO,-,12.45%,-,-,-,-,-,-,-,-,-,-,-,10.32,0.39%
SUN,2.23B,12.40%,0.30%,1.40%,4.70%,1.10,0.70,2.84,2.85,8.90%,1.70%,0.10%,Nov 07/a,26.37,-0.90%
CMFN,110.22M,12.38%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,8.16,1.05%
CYCCP,58.19M,12.37%,-,-,-,-,-,-,-,-,-,-,-,4.85,0.00%
GECC,86.28M,12.35%,-,-,-,-,-,-,-,-,-,-,Nov 05,8.17,0.86%
ABDC,79.15M,12.31%,-,-,-,-,-,-,-,-,-,-,Nov 05,6.19,5.81%
AGNC,8.48B,12.29%,1.60%,13.10%,-,-,-,0.04,5.74,60.40%,47.70%,46.00%,Oct 24/a,17.77,1.17%
GLO,312.90M,12.26%,-,-,-,-,-,-,-,-,-,-,-,9.77,0.66%
OXSQ,321.42M,12.23%,-,-,-,-,-,-,-,-,-,-,Oct 30/b,6.80,3.98%
WMC,482.06M,12.23%,1.40%,14.50%,2.20%,-,-,7.31,7.31,49.90%,35.80%,34.90%,Nov 07/a,10.19,0.49%
NLY,12.84B,12.22%,2.90%,23.10%,1.60%,-,-,0.64,6.64,67.40%,61.20%,58.60%,Oct 31/a,9.94,1.22%
FTF,211.12M,12.21%,-,-,-,-,-,-,-,-,-,-,-,9.32,-0.21%
IAF,119.40M,12.19%,-,-,-,-,-,-,-,-,-,-,-,5.31,1.14%
TEO,2.41B,12.17%,-0.60%,-1.20%,23.70%,0.50,0.40,0.24,0.52,79.50%,20.10%,-0.90%,Nov 30/a,18.91,0.05%
DLNG,424.42M,12.15%,0.80%,3.30%,6.70%,2.80,2.60,3.19,3.20,79.10%,47.30%,6.00%,Dec 04/b,8.26,0.36%
CPTA,131.69M,12.15%,-,-,-,-,-,-,-,-,-,-,Nov 05/a,8.01,-2.67%
BKCC,421.12M,12.14%,-,-,-,-,-,-,-,-,-,-,Oct 31/a,6.03,1.76%
VGR,1.88B,12.10%,6.30%,-18.80%,21.00%,1.40,1.20,-,-,30.90%,11.80%,4.60%,Nov 13/b,13.48,2.00%
FMO,378.15M,12.09%,-,-,-,-,-,-,-,-,-,-,-,10.71,0.38%
MTEX,39.84M,12.05%,-3.90%,-7.80%,-4.20%,1.40,1.10,0.03,0.06,80.30%,0.30%,-1.70%,Nov 06/b,16.70,0.60%
DX,342.24M,12.04%,1.80%,14.40%,1.10%,-,-,0.01,6.29,50.50%,67.70%,56.60%,Oct 31/b,6.01,0.50%
GPM,386.39M,11.94%,-,-,-,-,-,-,-,-,-,-,-,8.10,0.75%
UNIT,3.49B,11.94%,0.40%,-1.10%,8.70%,0.20,0.20,-,-,-,31.00%,1.60%,Nov 01/a,19.83,-1.34%
OFS,152.73M,11.89%,-,-,-,-,-,-,-,-,-,-,Nov 02/b,11.55,0.96%
NRO,215.76M,11.87%,-,-,-,-,-,-,-,-,-,-,-,4.56,0.22%
SACH,63.30M,11.85%,10.40%,14.10%,7.50%,-,-,0.00,0.40,87.10%,72.90%,73.30%,-,4.11,1.40%
GLV,79.24M,11.85%,-,-,-,-,-,-,-,-,-,-,-,11.35,0.34%
MARPS,6.10M,11.80%,-,-,-,-,-,-,-,-,-,-,Nov 13/b,3.05,0.00%
FEN,389.40M,11.79%,-,-,-,-,-,-,-,-,-,-,-,19.74,0.30%
SMTA,484.22M,11.68%,-,-,-0.20%,-,-,9.88,9.88,-,-,-,Nov 09/b,11.36,0.53%
MFA,2.75B,11.68%,2.80%,9.30%,3.20%,-,-,0.00,1.84,66.30%,53.50%,50.70%,Nov 06/b,7.09,3.58%
FSIC,1.56B,11.67%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,6.62,1.69%
PHK,1.08B,11.66%,-,-,-,-,-,-,-,-,-,-,-,8.37,0.54%
SDLP,314.97M,11.63%,3.00%,14.90%,9.10%,2.10,2.10,2.09,2.31,67.90%,40.70%,17.20%,Nov 20/b,3.34,-2.91%
NTG,-,11.62%,-,-,-,-,-,-,-,-,-,-,-,14.56,0.07%
CBA,-,11.61%,-,-,-,-,-,-,-,-,-,-,-,6.92,0.44%
CPLP,389.77M,11.59%,-,-,4.70%,0.50,0.50,-,-,89.20%,-,-,Oct 31/b,2.77,0.36%
MFD,88.36M,11.59%,-,-,-,-,-,-,-,-,-,-,-,10.47,1.16%
NRZ,5.86B,11.56%,5.10%,23.00%,4.90%,-,-,1.26,3.77,63.30%,54.30%,50.90%,Oct 25/b,17.28,-0.09%
SSI,49.41M,11.56%,-7.00%,-18.80%,-5.60%,2.80,0.40,0.91,0.92,23.20%,-3.20%,-3.70%,Nov 15/b,1.74,0.64%
TPVG,302.87M,11.49%,-,-,-,-,-,-,-,-,-,-,Oct 31/a,12.58,0.40%
CNSL,945.11M,11.49%,1.50%,10.80%,1.70%,0.80,0.80,4.54,4.60,57.60%,2.20%,4.60%,Nov 01/b,13.57,0.59%
MITT,488.00M,11.49%,1.70%,11.60%,-,-,-,0.03,4.95,53.90%,45.60%,43.60%,Nov 07/a,17.50,0.52%
CELP,85.91M,11.46%,5.30%,26.80%,2.70%,3.10,3.10,2.43,2.43,13.10%,5.30%,2.90%,Nov 12/a,7.01,-4.32%
GLQ,148.52M,11.43%,-,-,-,-,-,-,-,-,-,-,-,13.47,0.01%
BKEPP,-,11.40%,-,-,-,-,-,-,-,-,-,-,-,6.30,1.12%
FGB,-,11.38%,-,-,-,-,-,-,-,-,-,-,-,6.18,0.56%
CTR,-,11.37%,-,-,-,-,-,-,-,-,-,-,-,10.20,0.00%
FDUS,336.37M,11.35%,-,-,-,-,-,-,-,-,-,-,Nov 01/a,13.96,1.52%
CHI,707.29M,11.30%,-,-,-,-,-,-,-,-,-,-,-,10.19,0.99%
SXCP,651.81M,11.26%,8.50%,25.30%,-2.10%,1.30,0.70,1.43,1.44,29.10%,16.10%,15.70%,Oct 25/b,14.34,0.95%
ATTO,441.58M,11.26%,-1.50%,-5.60%,9.40%,1.50,1.50,1.29,1.48,-,4.80%,-1.10%,Nov 12/a,6.20,2.65%
AINV,1.13B,11.24%,-,-,-,-,-,-,-,-,-,-,Oct 30/a,5.38,0.75%
WHF,259.91M,11.23%,-,-,-,-,-,-,-,-,-,-,Nov 06/b,13.18,4.19%
CCT,1.79B,11.17%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,14.65,1.63%
IGD,635.86M,11.15%,-,-,-,-,-,-,-,-,-,-,-,6.60,0.76%
