Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,107.58M,581.65%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,May 06/b,1.58,-3.07%
SWZ,100.56M,259.10%,-,-,-,-,-,-,-,-,-,-,-,7.58,-0.66%
NAUH,1.81M,246.58%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Jan 30/a,0.07,17.74%
WHLR,21.88M,58.87%,-5.50%,-223.90%,1.80%,-,-,600.17,600.17,71.90%,9.70%,-44.60%,May 28/a,2.31,0.00%
OXBR,6.22M,41.74%,-31.40%,-45.30%,-93.00%,-,-,0.00,0.00,-,-,-,Mar 26/a,1.15,-4.96%
DRAD,11.15M,39.70%,1.30%,2.60%,-8.40%,1.60,1.20,0.37,0.00,17.50%,-4.40%,0.70%,May 03/b,0.55,-9.01%
FGP,123.45M,32.00%,-15.40%,23.10%,-7.40%,1.10,0.80,-,-,42.60%,-2.80%,-12.10%,Jun 07/b,1.25,0.00%
CNSL,373.14M,30.69%,-1.30%,-10.70%,1.40%,0.70,0.70,6.23,6.31,56.30%,1.90%,-3.40%,Apr 25/b,5.05,-1.17%
BKEP,44.05M,28.57%,-18.20%,-17.00%,-5.30%,1.00,1.00,1.05,1.05,40.40%,-7.10%,-17.30%,Jun 10/a,1.12,0.90%
SMLP,635.56M,27.64%,0.10%,0.50%,6.20%,1.00,1.00,1.39,1.39,59.60%,26.60%,0.80%,May 09/b,8.32,3.35%
MDLY,92.02M,26.58%,-3.90%,33.00%,4.50%,-,-,-,-,99.10%,9.90%,-6.40%,Apr 04/b,3.01,0.17%
MMLP,298.06M,26.23%,5.00%,28.10%,4.90%,1.90,1.10,2.54,2.54,33.70%,6.10%,6.00%,Apr 24/a,7.63,-1.61%
MHLD,66.20M,25.48%,-9.00%,-131.80%,-126.60%,-,-,2.85,2.85,-,-20.00%,-26.30%,Mar 27/b,0.79,9.19%
BPT,435.07M,25.30%,-,-,-,-,-,0.00,0.00,-,99.00%,99.00%,May 31,20.04,-0.35%
HCLP,370.35M,25.21%,10.30%,16.10%,12.60%,1.80,1.50,0.55,0.55,26.90%,18.70%,15.80%,May 07/a,3.57,2.88%
ECT,32.92M,24.06%,11.10%,11.40%,12.20%,-,-,0.00,0.00,-,83.50%,80.30%,May 09/b,1.87,-1.57%
