Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,102.82M,608.61%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,May 06/b,1.51,-4.43%
NAUH,1.54M,290.32%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Jan 30/a,0.06,-15.07%
SWZ,98.97M,263.27%,-,-,-,-,-,-,-,-,-,-,-,7.46,-1.58%
WHLR,21.31M,60.44%,-5.50%,-223.90%,1.80%,-,-,600.17,600.17,71.90%,9.70%,-44.60%,May 28/a,2.25,-2.60%
OXBR,6.60M,39.34%,-31.40%,-45.30%,-93.00%,-,-,0.00,0.00,-,-,-,Mar 26/a,1.22,6.09%
DRAD,11.88M,37.29%,1.30%,2.60%,-8.40%,1.60,1.20,0.37,0.00,17.50%,-4.40%,0.70%,May 03/b,0.59,6.48%
FGP,123.45M,32.00%,-15.40%,23.10%,-7.40%,1.10,0.80,-,-,42.60%,-2.80%,-12.10%,Jun 07/b,1.25,0.00%
CNSL,373.14M,30.69%,-1.30%,-10.70%,1.40%,0.70,0.70,6.23,6.31,56.30%,1.90%,-3.40%,Apr 25/b,5.05,0.00%
BKEP,44.44M,28.32%,-18.20%,-17.00%,-5.30%,1.00,1.00,1.05,1.05,40.40%,-7.10%,-17.30%,Jun 10/a,1.13,0.89%
MDLY,88.04M,27.78%,-3.90%,33.00%,4.50%,-,-,-,-,99.10%,9.90%,-6.40%,Apr 04/b,2.88,-4.32%
MMLP,287.70M,27.17%,5.00%,28.10%,4.90%,1.90,1.10,2.54,2.54,33.70%,6.10%,6.00%,Apr 24/a,7.36,-3.48%
SMLP,663.83M,26.47%,0.10%,0.50%,6.20%,1.00,1.00,1.39,1.39,59.60%,26.60%,0.80%,May 09/b,8.69,4.45%
BPT,433.77M,25.38%,-,-,-,-,-,0.00,0.00,-,99.00%,99.00%,May 31,19.98,-0.30%
MHLD,66.62M,25.32%,-9.00%,-131.80%,-126.60%,-,-,2.85,2.85,-,-20.00%,-26.30%,Mar 27/b,0.79,0.64%
HCLP,373.46M,25.00%,10.30%,16.10%,12.60%,1.80,1.50,0.55,0.55,26.90%,18.70%,15.80%,May 07/a,3.60,0.84%
CBL,211.29M,24.39%,-2.20%,-11.60%,1.70%,-,-,4.19,4.19,70.60%,9.80%,-14.40%,Apr 30/a,1.23,-2.38%
ECT,32.75M,24.19%,11.10%,11.40%,12.20%,-,-,0.00,0.00,-,83.50%,80.30%,May 09/b,1.86,-0.53%
SNMP,44.40M,23.62%,-4.70%,40.80%,11.60%,1.30,1.30,-,-,74.50%,16.10%,-28.20%,Jun 06/b,2.54,1.20%
SMHD,-,22.73%,-,-,-,-,-,-,-,-,-,-,-,14.39,-1.30%
MRRL,-,22.25%,-,-,-,-,-,-,-,-,-,-,-,13.98,-1.06%
MORL,-,22.08%,-,-,-,-,-,-,-,-,-,-,-,14.54,0.07%
REML,-,21.96%,-,-,-,-,-,-,-,-,-,-,-,24.55,-1.01%
NDP,-,21.03%,-,-,-,-,-,-,-,-,-,-,-,8.32,2.97%
WPG,897.15M,20.96%,1.40%,7.60%,6.70%,-,-,4.03,4.03,66.40%,32.60%,8.50%,Apr 24/a,4.77,-1.85%
AVH,156.44M,20.64%,-0.30%,-2.10%,4.10%,0.50,0.50,3.04,3.60,43.30%,4.70%,-0.50%,May 24/a,3.73,0.27%
CLM,890.50M,20.11%,-,-,-,-,-,-,-,-,-,-,-,12.23,-0.65%
COMG,-,19.86%,-,-,-,-,-,-,-,-,-,-,-,22.25,-1.75%
CRF,463.08M,19.78%,-,-,-,-,-,-,-,-,-,-,-,12.03,-0.50%
SMTA,287.96M,19.64%,-9.80%,-162.70%,-11.20%,-,-,-,-,94.80%,-93.10%,-93.90%,May 09/a,6.72,-1.47%
AI,276.24M,19.61%,-2.10%,-31.40%,-2.30%,-,-,0.28,14.26,-,-,-,May 21/b,7.65,-0.91%
SNH,1.95B,19.26%,3.90%,9.00%,3.40%,-,-,1.21,1.21,59.60%,20.30%,25.70%,May 09/b,8.10,-3.11%
