Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,106.21M,596.75%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,Dec 11/b,1.54,2.67%
SWZ,198.97M,249.87%,-,-,-,-,-,-,-,-,-,-,-,7.86,0.64%
VMIN,-,113.27%,-,-,-,-,-,-,-,-,-,-,-,2.94,4.26%
KEN,868.28M,76.57%,-,-,-1.50%,2.00,-,0.71,0.81,20.70%,-,-,Nov 29/b,16.13,2.35%
OXBR,6.34M,42.86%,-88.10%,-164.90%,-148.10%,-,-,0.14,0.14,-,-,-,Nov 13/a,1.12,-2.61%
WHLR,33.15M,39.88%,-5.00%,-105.30%,0.10%,-,-,20.33,20.33,73.40%,3.60%,-39.80%,Nov 06/a,3.41,-6.83%
ATAI,30.62M,34.45%,-14.50%,-34.60%,6.80%,1.20,1.20,0.00,0.07,47.20%,-,-27.50%,Nov 15/a,1.19,0.00%
NAUH,14.28M,32.14%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Oct 10/a,0.56,-3.45%
PMTS,32.58M,30.30%,-16.90%,32.20%,-4.80%,2.20,2.00,-,-,29.60%,-7.20%,-15.80%,Nov 07/b,2.97,-1.00%
FGP,156.90M,23.26%,-16.00%,31.90%,-7.40%,1.30,1.00,-,-,37.60%,-4.40%,-12.20%,Sep 27/b,1.72,0.00%
EXD,-,22.97%,-,-,-,-,-,-,-,-,-,-,-,8.36,0.81%
CLM,578.87M,21.86%,-,-,-,-,-,-,-,-,-,-,-,12.99,2.04%
SNMP,131.84M,21.84%,-6.80%,98.20%,-0.10%,0.80,0.80,-,-,71.80%,5.20%,-48.20%,Nov 09/b,8.24,0.24%
CRF,289.25M,21.60%,-,-,-,-,-,-,-,-,-,-,-,12.78,2.24%
VEDL,10.95B,21.31%,0.80%,2.50%,13.40%,0.80,0.70,0.45,0.98,28.20%,24.50%,1.50%,Nov 09/b,12.25,2.08%
MORL,-,20.80%,-,-,-,-,-,-,-,-,-,-,-,14.81,0.47%
MRRL,-,20.75%,-,-,-,-,-,-,-,-,-,-,-,14.70,-0.14%
REML,-,20.26%,-,-,-,-,-,-,-,-,-,-,-,25.37,-0.14%
VOC,78.21M,19.34%,11.00%,11.00%,10.80%,-,-,0.00,0.00,-,90.50%,91.50%,Nov 15,4.55,2.71%
PEX,-,18.72%,-,-,-,-,-,-,-,-,-,-,-,34.29,0.99%
DRAD,25.92M,18.64%,-43.40%,-84.90%,-47.30%,1.70,1.20,0.42,0.00,21.80%,-6.80%,-26.40%,Nov 02/b,1.18,-2.48%
GOV,961.45M,18.59%,0.50%,1.30%,1.50%,-,-,1.73,1.73,67.60%,6.60%,4.40%,Nov 01/b,9.25,-0.32%
PER,130.24M,18.33%,18.90%,18.90%,19.30%,-,-,0.00,0.00,94.90%,83.10%,83.40%,Nov 13/a,2.51,-0.79%
SMHD,-,17.93%,-,-,-,-,-,-,-,-,-,-,-,16.84,2.25%
AI,251.69M,17.18%,-1.00%,-13.00%,0.40%,-,-,0.25,12.82,8.10%,-,-55.90%,Oct 23/a,8.73,1.75%
MVO,115.16M,17.10%,64.40%,64.40%,48.70%,-,-,0.00,0.00,-,92.00%,92.80%,Nov 15,9.71,4.07%
CEFL,-,17.07%,-,-,-,-,-,-,-,-,-,-,-,14.47,2.33%
CLRO,14.10M,16.67%,-25.20%,-29.40%,-20.00%,5.10,2.60,0.00,0.00,54.60%,-58.20%,-49.60%,Nov 14/a,1.68,-13.89%
AMJL,-,16.56%,-,-,-,-,-,-,-,-,-,-,-,16.31,2.93%
SNR,456.00M,16.43%,0.30%,1.90%,-2.30%,5.50,5.50,4.75,4.75,73.40%,-12.10%,2.00%,Nov 01/b,5.54,1.09%
NAP,60.66M,16.29%,-3.90%,-7.30%,6.50%,7.00,7.00,0.91,0.91,93.40%,35.60%,-20.40%,Nov 15/b,3.07,-0.97%
BPT,696.14M,16.26%,-,-,9628.50%,-,-,0.00,0.00,-,98.50%,98.60%,Nov 15,32.53,3.17%
SDR,57.74M,16.26%,23.10%,23.10%,24.80%,-,-,0.00,0.00,94.20%,72.10%,71.90%,Nov 13,1.23,-1.60%
NDP,-,16.01%,-,-,-,-,-,-,-,-,-,-,-,10.93,2.73%
MMLP,494.63M,16.00%,4.70%,27.00%,5.40%,2.30,1.00,99.81,99.81,30.20%,5.60%,5.50%,Oct 24/a,12.50,-1.03%
CGA,25.17M,15.63%,-1.40%,-1.70%,5.70%,4.90,4.30,0.02,0.03,25.80%,10.40%,-2.40%,Nov 14/b,0.64,-2.50%
BCRH,67.08M,15.38%,-25.30%,-37.20%,-34.00%,-,-,0.00,0.00,-,-,-,Oct 29,7.80,-3.47%
BPL,4.86B,15.30%,4.60%,9.90%,7.20%,1.00,0.70,1.02,1.06,41.20%,17.10%,11.70%,Nov 02/b,33.00,0.30%
BDCL,-,15.25%,-,-,-,-,-,-,-,-,-,-,-,14.75,-0.20%
OXLC,350.00M,15.24%,-,-,-,-,-,-,-,-,-,-,Nov 05/b,10.63,-1.39%
NNA,73.51M,15.09%,-4.10%,-14.30%,2.30%,1.00,1.00,2.41,2.53,83.90%,-2.70%,-33.10%,Nov 06/b,0.53,7.44%
BKEP,88.49M,15.09%,-4.50%,-3.80%,3.80%,1.10,1.10,0.63,0.63,53.00%,7.50%,-5.40%,Oct 31/a,2.12,3.41%
CHKR,77.09M,15.06%,-,-,48.20%,-,-,-,-,94.90%,-,-,Nov 14/b,1.66,1.84%
LBDC,-,15.01%,-,-,-,-,-,-,-,-,-,-,-,14.86,1.94%
MDLY,162.52M,14.93%,-2.00%,26.80%,20.10%,-,-,-,-,-,26.00%,-3.60%,Nov 13/b,5.36,-0.74%
WPG,1.27B,14.81%,1.70%,8.80%,9.40%,-,-,3.86,3.86,67.90%,32.50%,10.30%,Oct 24/a,6.75,1.50%
