Action,Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
ADDED,LADR,1.89B,13.39%,3.20%,15.60%,2.20%,-,-,3.51,3.51,72.00%,42.20%,31.40%,Nov 01/a,16.92,-0.64%
ADDED,NAT,433.04M,13.11%,-20.40%,-33.10%,-16.00%,2.90,2.50,0.53,0.57,10.70%,-76.80%,-89.60%,Nov 12/b,3.01,-1.31%
ADDED,SBR,554.04M,12.76%,583.50%,822.60%,755.00%,-,-,0.00,0.00,-,94.40%,94.30%,Nov 20,37.67,-0.87%
ADDED,SNH,3.26B,11.38%,8.70%,19.90%,3.90%,-,-,1.15,1.15,60.50%,23.90%,57.80%,Nov 06/b,13.68,-0.26%
ADDED,CBL,467.94M,11.07%,-0.60%,-3.00%,5.00%,-,-,3.95,3.95,70.80%,21.00%,-3.70%,Oct 29/a,2.70,-0.37%
ADDED,ROYT,73.32M,10.53%,4.90%,4.90%,2.00%,-,-,0.00,0.00,-,82.40%,82.30%,Nov 12,1.86,-2.27%
ADDED,CGO,97.12M,10.49%,-,-,-,-,-,-,-,-,-,-,-,11.27,-1.49%
ADDED,AVK,491.57M,10.41%,-,-,-,-,-,-,-,-,-,-,-,13.39,-1.18%
ADDED,SZC,-,10.35%,-,-,-,-,-,-,-,-,-,-,-,15.60,-1.52%
ADDED,GLP,624.74M,10.34%,2.90%,16.40%,8.20%,1.30,0.70,2.52,3.29,5.00%,1.10%,0.60%,Nov 08/b,18.04,-1.85%
ADDED,FCO,70.93M,10.33%,-,-,-,-,-,-,-,-,-,-,-,8.00,-1.60%
ADDED,PEI,573.63M,10.32%,-2.50%,-10.70%,0.20%,-,-,2.97,2.97,61.70%,0.60%,-17.10%,Oct 30/a,8.09,-0.61%
ADDED,MIE,-,10.27%,-,-,-,-,-,-,-,-,-,-,-,8.64,-3.61%
ADDED,KRP,472.92M,10.22%,-14.80%,-23.70%,0.70%,5.50,5.50,0.60,0.60,-,-93.40%,-,Nov 08/b,17.28,-1.90%
ADDED,ADES,195.22M,10.20%,42.40%,45.40%,-35.20%,12.10,12.10,0.00,0.00,12.20%,-31.40%,-,Nov 06/a,9.68,-1.22%
ADDED,MCN,197.74M,10.17%,-,-,-,-,-,-,-,-,-,-,-,7.00,-1.13%
ADDED,ETW,1.15B,10.17%,-,-,-,-,-,-,-,-,-,-,-,10.54,-1.68%
ADDED,NCMI,533.05M,10.07%,0.90%,-2.70%,44.00%,2.00,2.00,-,-,70.20%,61.10%,2.30%,Nov 05/a,6.66,-1.33%
ADDED,INB,-,10.06%,-,-,-,-,-,-,-,-,-,-,-,8.16,-1.09%
ADDED,SCD,221.91M,10.05%,-,-,-,-,-,-,-,-,-,-,-,12.13,-1.70%
ADDED,PTY,1.26B,10.05%,-,-,-,-,-,-,-,-,-,-,-,14.90,-4.06%
ADDED,YMLP,-,10.03%,-,-,-,-,-,-,-,-,-,-,-,19.47,-1.90%
ADDED,DDF,89.72M,10.03%,-,-,-,-,-,-,-,-,-,-,-,11.42,-2.14%
REMOVED,NNA,69.26M,18.18%,-4.10%,-14.30%,2.30%,1.00,1.00,2.41,2.53,83.90%,-2.70%,-33.10%,Nov 06/b,0.44,0.00%
REMOVED,MLPZ,-,13.00%,-,-,-,-,-,-,-,-,-,-,-,34.39,0.00%
REMOVED,SBGL,1.37B,11.47%,0.60%,2.00%,0.70%,1.80,1.30,1.11,1.13,8.20%,1.80%,0.90%,-,2.31,0.00%
REMOVED,CCT,1.75B,11.39%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,14.13,0.00%
REMOVED,PNNT,490.62M,10.27%,-,-,-,-,-,-,-,-,-,-,Nov 15/a,7.01,0.00%
REMOVED,NEWT,373.02M,10.10%,0.00%,0.00%,-,-,-,0.89,0.00,-,23.00%,0.00%,Nov 07/a,19.81,0.00%
REMOVED,GNL,1.54B,10.02%,0.40%,0.90%,2.80%,-,-,1.22,0.00,80.00%,30.70%,4.70%,Nov 07/b,21.25,0.00%
REMOVED,VIV,19.15B,10.02%,8.70%,12.70%,7.10%,0.90,0.90,0.07,0.09,52.70%,21.90%,20.60%,Nov 21/b,11.58,0.00%
