Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
RENN,103.46M,612.67%,4.80%,8.50%,-24.60%,1.50,0.90,0.20,0.48,5.50%,-37.80%,11.00%,Dec 11/b,1.43,-4.67%
SWZ,274.82M,270.90%,-,-,-,-,-,-,-,-,-,-,-,7.18,-0.96%
VMIN,-,138.91%,-,-,-,-,-,-,-,-,-,-,-,2.76,0.31%
KEN,861.28M,77.19%,-,-,-1.50%,2.00,-,0.71,0.81,20.70%,-,-,Nov 26/b,16.00,0.00%
WHLR,26.27M,48.92%,-4.70%,-131.30%,0.10%,-,-,24.25,24.25,72.30%,8.00%,-38.00%,Nov 06/a,2.80,0.72%
OXBR,6.51M,42.11%,-84.80%,-158.80%,-148.10%,-,-,0.14,0.14,-,-,-,Nov 20/a,1.07,-6.04%
SNMP,72.05M,40.45%,-7.60%,78.90%,-0.10%,0.80,0.80,-,-,70.90%,2.70%,-53.40%,Nov 09/b,4.00,-10.11%
ATAI,23.59M,39.81%,-16.40%,-38.30%,6.80%,6.90,6.90,0.00,0.05,48.50%,-18.80%,-36.10%,Nov 15/a,1.03,0.00%
NAUH,12.33M,35.61%,-28.80%,-78.30%,-31.10%,0.60,0.60,1.53,1.63,60.80%,-16.90%,-18.10%,Oct 10/a,0.45,-10.72%
PMTS,31.92M,31.47%,-20.20%,34.00%,-4.80%,2.40,2.10,-,-,30.20%,-6.60%,-17.70%,Nov 07/b,2.85,-0.35%
FGP,147.71M,26.32%,-16.00%,31.90%,-7.40%,1.30,1.00,-,-,37.60%,-4.40%,-12.20%,Dec 06/b,1.53,0.66%
CLM,545.00M,23.22%,-,-,-,-,-,-,-,-,-,-,-,11.88,-2.83%
CRF,269.56M,23.17%,-,-,-,-,-,-,-,-,-,-,-,11.52,-3.27%
EXD,-,22.91%,-,-,-,-,-,-,-,-,-,-,-,8.35,-0.36%
PER,108.21M,22.33%,19.80%,19.80%,19.30%,-,-,0.00,0.00,94.90%,83.00%,83.20%,Nov 20/a,2.05,-0.49%
REML,-,22.16%,-,-,-,-,-,-,-,-,-,-,-,24.85,-0.61%
MRRL,-,22.02%,-,-,-,-,-,-,-,-,-,-,-,14.20,-1.66%
MORL,-,22.01%,-,-,-,-,-,-,-,-,-,-,-,14.33,-1.44%
CLRO,10.60M,21.88%,-29.10%,-33.40%,-20.00%,4.80,2.30,0.00,0.00,49.90%,-28.70%,-58.80%,Nov 21/a,1.31,2.25%
VOC,69.53M,21.52%,13.30%,13.30%,10.80%,-,-,0.00,0.00,-,92.40%,92.70%,Nov 15,4.05,-0.98%
SMHD,-,21.03%,-,-,-,-,-,-,-,-,-,-,-,15.95,-3.04%
DRAD,21.60M,20.56%,-32.80%,-68.00%,-47.30%,1.80,1.40,0.50,0.00,20.30%,-3.70%,-18.00%,Nov 02/b,1.03,-3.74%
MVO,93.15M,20.49%,80.60%,80.60%,48.70%,-,-,0.00,0.00,-,93.60%,93.90%,Nov 15,8.09,-0.16%
PEX,-,20.22%,-,-,-,-,-,-,-,-,-,-,-,32.84,-1.01%
CEFL,-,20.21%,-,-,-,-,-,-,-,-,-,-,-,13.11,-2.24%
SDR,49.55M,20.06%,23.20%,23.20%,24.80%,-,-,0.00,0.00,94.00%,71.30%,71.30%,Nov 20,1.00,0.16%
BPT,567.74M,19.94%,-,-,9628.50%,-,-,0.00,0.00,-,98.80%,98.90%,Nov 15,26.28,-0.94%
NAP,53.24M,19.69%,-,-,6.50%,5.60,5.60,0.90,0.90,93.40%,-,-,Nov 15/b,2.51,-1.18%
GOV,879.00M,19.41%,1.20%,3.20%,1.50%,-,-,1.73,1.73,67.90%,6.90%,9.70%,Nov 01/b,8.78,-0.90%
