Action,Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
ADDED,SBGL,1.42B,10.69%,0.60%,2.00%,0.70%,1.80,1.30,1.11,1.13,8.20%,1.80%,0.90%,-,2.48,-1.98%
ADDED,CCR,535.86M,10.46%,12.40%,29.00%,12.20%,0.60,0.40,0.83,0.85,-,19.80%,17.40%,Oct 29,19.60,-1.51%
ADDED,EQM,5.19B,10.30%,7.00%,12.20%,7.70%,0.30,0.30,0.69,0.00,-,71.60%,35.90%,Oct 25/b,43.29,-1.37%
REMOVED,GNL,1.45B,10.53%,0.50%,1.10%,2.80%,-,-,1.23,0.00,79.00%,31.50%,5.60%,Nov 07/b,20.25,0.15%
REMOVED,SPKEP,-,10.30%,-,-,-,-,-,-,-,-,-,-,-,21.75,2.30%
REMOVED,JMF,-,10.30%,-,-,-,-,-,-,-,-,-,-,-,9.77,0.62%
REMOVED,FCO,71.98M,10.18%,-,-,-,-,-,-,-,-,-,-,-,8.30,0.61%
REMOVED,CGO,100.29M,10.16%,-,-,-,-,-,-,-,-,-,-,-,11.93,0.99%
REMOVED,SZC,-,10.15%,-,-,-,-,-,-,-,-,-,-,-,16.26,0.63%
REMOVED,FDEU,-,10.13%,-,-,-,-,-,-,-,-,-,-,-,14.24,-0.48%
REMOVED,SJT,250.29M,10.11%,300.30%,519.60%,592.90%,-,-,0.00,0.00,-,79.00%,78.80%,Nov 15,5.43,1.69%
REMOVED,VEON,5.05B,10.10%,-2.40%,-10.70%,4.90%,0.60,0.50,2.55,2.98,77.10%,16.20%,-4.80%,Nov 15/b,2.84,-1.05%
REMOVED,APU,3.53B,10.09%,3.80%,21.20%,9.50%,0.80,0.60,3.92,4.20,52.50%,13.30%,5.60%,Nov 12/a,37.82,0.42%
REMOVED,TNK,319.21M,10.08%,-3.40%,-7.50%,0.10%,0.70,0.70,0.96,1.13,22.80%,-6.10%,-13.30%,Nov 15/b,1.22,2.31%
REMOVED,NMFC,1.03B,10.07%,-,-,-,-,-,-,-,-,-,-,Nov 07/a,13.58,0.59%
REMOVED,REM,-,10.07%,-,-,-,-,-,-,-,-,-,-,-,43.12,0.72%
REMOVED,SNP,111.26B,10.06%,2.60%,5.40%,6.10%,0.80,0.40,0.20,0.36,21.50%,2.60%,1.50%,Nov 26,86.25,0.58%
REMOVED,GMZ,-,10.06%,-,-,-,-,-,-,-,-,-,-,-,8.42,0.84%
REMOVED,MIC,3.46B,10.05%,6.10%,15.70%,3.60%,1.40,1.40,0.99,1.12,53.90%,16.30%,25.30%,Oct 31/a,39.39,-1.06%
REMOVED,SAR,155.58M,10.00%,-,-,-,-,-,-,-,-,-,-,Oct 10/a,21.05,1.20%
