Ticker,Market Cap,Div,ROA,ROE,ROI,Curr R,Quick R,LTDebt/Eq,Debt/Eq,Gross M,Profit M,Earnings,Price,Change,Volume
MRCC,264.55M,10.95%,2.90%,5.10%,5.20%,-,-,0.87,0.87,57.30%,53.60%,25.10%,Nov 06/a,12.74,-0.31%
NHF,-,10.94%,-,-,-,-,-,-,-,-,-,-,-,21.90,-0.14%
CHMI,284.77M,10.94%,3.50%,26.10%,2.40%,-,-,0.26,5.74,67.40%,64.50%,56.70%,Nov 06/a,17.97,0.34%
CHY,799.85M,10.94%,-,-,-,-,-,-,-,-,-,-,-,10.96,-0.09%
ERC,381.12M,10.94%,-,-,-,-,-,-,-,-,-,-,-,11.56,-0.39%
SCM,199.10M,10.90%,-,-,-,-,-,-,-,-,-,-,Nov 07/b,12.37,-0.88%
TYG,1.27B,10.85%,-,-,-,-,-,-,-,-,-,-,-,24.00,-0.58%
CIM,3.50B,10.85%,2.60%,15.50%,2.60%,-,-,2.61,5.11,47.00%,50.20%,47.00%,Oct 31/b,18.54,0.60%
MCC,201.01M,10.84%,-,-,-,-,-,-,-,-,-,-,Nov 08/a,3.63,-1.63%
JMLP,-,10.84%,-,-,-,-,-,-,-,-,-,-,-,6.78,-2.02%
HCAP,67.30M,10.84%,-,-,-,-,-,-,-,-,-,-,Nov 08/b,10.47,-0.46%
PLYM,64.40M,10.83%,-7.00%,992.10%,-1.10%,0.50,0.50,-,-,65.10%,-15.30%,-53.40%,Nov 13/b,13.83,-0.14%
IID,-,10.82%,-,-,-,-,-,-,-,-,-,-,-,5.68,-0.87%
FEI,-,10.81%,-,-,-,-,-,-,-,-,-,-,-,11.10,0.00%
ARLP,2.56B,10.78%,16.80%,31.70%,18.80%,1.10,0.90,0.34,0.42,96.10%,20.50%,19.60%,Oct 29/b,19.35,0.33%
MTBCP,302.44M,10.77%,-,-,-,-,-,-,-,-,-,-,-,25.54,0.04%
TTP,-,10.72%,-,-,-,-,-,-,-,-,-,-,-,15.05,-0.99%
MLPZ,-,10.70%,-,-,-,-,-,-,-,-,-,-,-,34.12,0.00%
