Action,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
ADDED,BNED,"Barnes & Noble Education, Inc.",Services,"Specialty Retail, Other",USA,180.20M,4.86,4.00
ADDED,PPDF,PPDAI Group Inc.,Financial,Credit Services,China,1.64B,4.92,5.67
ADDED,FOX,Fox Corporation,Services,Entertainment - Diversified,USA,-,4.93,36.70
ADDED,HPR,HighPoint Resources Corporation,Basic Materials,Independent Oil & Gas,USA,538.03M,4.96,2.36
ADDED,ZIOP,"ZIOPHARM Oncology, Inc.",Healthcare,Biotechnology,USA,673.25M,4.97,4.35
ADDED,CSTM,Constellium N.V.,Basic Materials,Aluminum,Netherlands,1.25B,4.97,9.25
ADDED,JMEI,Jumei International Holding Limited,Services,"Specialty Retail, Other",China,404.63M,4.98,2.63
