Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
CXDC,China XD Plastics Company Limited,Consumer Goods,Rubber & Plastics,China,93.30M,0.95,1.92
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,25.71M,1.01,1.00
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,22.79M,1.02,0.58
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,4.12M,1.10,2.63
INFI,"Infinity Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,80.20M,1.13,1.35
COOP,Mr. Cooper Group Inc.,Financial,Savings & Loans,USA,1.31B,1.17,14.01
SIGA,"SIGA Technologies, Inc.",Healthcare,Biotechnology,USA,453.00M,1.31,5.62
HTZ,"Hertz Global Holdings, Inc.",Services,Rental & Leasing Services,USA,1.56B,1.32,17.83
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,67.44M,1.34,1.00
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,Luxembourg,377.01M,1.37,21.65
MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,27.27M,1.39,1.73
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,277.30M,1.41,2.90
DLPN,"Dolphin Entertainment, Inc.",Technology,Internet Information Providers,USA,18.90M,1.44,1.35
SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,24.35M,1.54,1.15
ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,800.05M,1.56,22.50
CIFS,China Internet Nationwide Financial Services Inc.,Financial,Credit Services,China,36.67M,1.61,1.63
KODK,Eastman Kodak Company,Consumer Goods,Electronic Equipment,USA,183.70M,1.67,4.05
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,82.71M,1.68,15.08
PVL,Permianville Royalty Trust,Basic Materials,Independent Oil & Gas,USA,84.81M,1.71,2.50
GMTA,GATX Corporation SR NT 2066,Services,"Specialty Retail, Other",USA,925.50M,1.79,23.90
RFP,Resolute Forest Products Inc.,Consumer Goods,Paper & Paper Products,Canada,1.02B,1.79,11.04
DAC,Danaos Corporation,Services,Shipping,Greece,227.95M,1.81,1.09
FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.26B,1.84,10.97
BHR,"Braemar Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,313.17M,1.87,9.50
TYHT,"Shineco, Inc.",Healthcare,Drug Related Products,China,15.85M,1.92,0.68
FNJN,"Finjan Holdings, Inc.",Technology,Application Software,USA,78.79M,2.10,2.71
VHI,"Valhi, Inc.",Basic Materials,Chemicals - Major Diversified,USA,722.47M,2.10,2.08
LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,1.21B,2.11,5.02
BTI,British American Tobacco p.l.c.,Consumer Goods,Cigarettes,United Kingdom,79.50B,2.13,34.88
MDCA,MDC Partners Inc.,Services,Marketing Services,Canada,145.55M,2.14,2.39
AABA,Altaba Inc.,Financial,Asset Management,USA,37.49B,2.21,60.61
SORL,"SORL Auto Parts, Inc.",Consumer Goods,Auto Manufacturers - Major,China,58.70M,2.22,2.90
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,9.66M,2.22,0.98
SD,"SandRidge Energy, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,372.96M,2.23,9.93
NVFY,"Nova LifeStyle, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,24.13M,2.28,0.88
DGSE,"DGSE Companies, Inc.",Services,Jewelry Stores,USA,14.57M,2.29,0.53
UPL,Ultra Petroleum Corp.,Basic Materials,Independent Oil & Gas,USA,329.11M,2.33,1.51
KLXE,"KLX Energy Services Holdings, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,538.56M,2.37,25.39
MNK,Mallinckrodt Public Limited Company,Healthcare,Drugs - Generic,United Kingdom,2.57B,2.40,29.59
NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,19.99M,2.42,1.15
EMMS,Emmis Communications Corporation,Services,Broadcasting - Radio,USA,50.05M,2.44,3.78
OSN,"Ossen Innovation Co., Ltd.",Basic Materials,Steel & Iron,China,13.17M,2.46,1.92
KEN,Kenon Holdings Ltd.,Utilities,Foreign Utilities,Singapore,861.28M,2.48,16.00
HEBT,"Hebron Technology Co., Ltd.",Industrial Goods,Diversified Machinery,China,10.20M,2.51,1.10
JE,Just Energy Group Inc.,Utilities,Diversified Utilities,Canada,592.53M,2.64,3.95
DQ,Daqo New Energy Corp.,Technology,Semiconductor Equipment & Materials,China,311.08M,2.69,22.44
APF,Morgan Stanley Asia-Pacific Fun,Financial,Closed-End Fund - Foreign,USA,199.71M,2.75,15.01
CHMI,Cherry Hill Mortgage Investment Corporation,Financial,REIT - Residential,USA,309.88M,2.90,18.99
HMG,"HMG/Courtland Properties, Inc.",Financial,REIT - Retail,USA,14.38M,2.95,13.60
RYAM,Rayonier Advanced Materials Inc.,Basic Materials,Chemicals - Major Diversified,USA,741.90M,2.98,14.05
CEPU,Central Puerto S.A.,Utilities,Electric Utilities,Argentina,15.28B,2.99,9.78
LMRK,Landmark Infrastructure Partners LP,Financial,Property Management,USA,330.15M,3.03,13.05
HX,Hexindai Inc.,Financial,Credit Services,China,254.43M,3.10,5.18
ZKIN,"ZK International Group Co., Ltd.",Basic Materials,Steel & Iron,China,21.86M,3.11,1.70
CLBS,"Caladrius Biosciences, Inc.",Healthcare,Biotechnology,USA,44.43M,3.16,4.60
LIVE,Live Ventures Incorporated,Technology,Internet Information Providers,USA,15.35M,3.18,7.48
REGI,"Renewable Energy Group, Inc.",Basic Materials,Oil & Gas Refining & Marketing,USA,989.20M,3.21,26.29
VZA,Verizon Communications Inc.,Technology,Telecom Services - Domestic,USA,104.33B,3.23,25.23
MU,"Micron Technology, Inc.",Technology,Semiconductor- Memory Chips,USA,41.77B,3.24,34.74
HCLP,Hi-Crush Partners LP,Basic Materials,Industrial Metals & Minerals,USA,720.21M,3.40,6.71
SID,Companhia Siderurgica Nacional,Basic Materials,Steel & Iron,Brazil,3.44B,3.40,2.38
RYI,Ryerson Holding Corporation,Industrial Goods,Metal Fabrication,USA,321.98M,3.42,8.16
MTL,Mechel PAO,Basic Materials,Steel & Iron,Russia,803.44M,3.43,2.75
CWH,"Camping World Holdings, Inc.",Financial,REIT - Office,USA,1.49B,3.43,16.94
GPOR,Gulfport Energy Corporation,Basic Materials,Independent Oil & Gas,USA,1.53B,3.47,8.25
DX,"Dynex Capital, Inc.",Financial,REIT - Residential,USA,356.89M,3.49,5.97
SINO,"Sino-Global Shipping America, Ltd.",Services,Air Delivery & Freight Services,USA,13.37M,3.51,1.00
WTI,"W&T Offshore, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,847.42M,3.52,5.59
ED,"Consolidated Edison, Inc.",Utilities,Electric Utilities,USA,24.14B,3.52,78.02
ASYS,"Amtech Systems, Inc.",Technology,Semiconductor Equipment & Materials,USA,77.30M,3.54,5.16
AXL,"American Axle & Manufacturing Holdings, Inc.",Consumer Goods,Auto Parts,USA,1.34B,3.55,11.83
HCC,"Warrior Met Coal, Inc.",Financial,Property & Casualty Insurance,USA,1.35B,3.55,24.52
HPJ,"Highpower International, Inc.",Industrial Goods,Industrial Electrical Equipment,China,42.01M,3.66,2.65
ALO,Alio Gold Inc.,Basic Materials,Gold,Canada,56.55M,3.67,0.64
CNX,CNX Resources Corporation,Basic Materials,Independent Oil & Gas,USA,2.91B,3.68,13.99
HEES,"H&E Equipment Services, Inc.",Services,Rental & Leasing Services,USA,751.97M,3.69,20.25
ESGRP,Enstar Group Limited,Financial,Insurance Brokers,Bermuda,535.57M,3.69,24.95
THST,"Truett-Hurst, Inc.",Consumer Goods,Beverages - Wineries & Distillers,USA,9.20M,3.72,1.90
SBOW,"SilverBow Resources, Inc.",Basic Materials,Independent Oil & Gas,USA,306.86M,3.73,26.07
TST,"TheStreet, Inc.",Technology,Internet Information Providers,USA,89.79M,3.73,1.83
SPB,"Spectrum Brands Holdings, Inc.",Consumer Goods,Personal Products,USA,2.57B,3.78,46.94
GAIN,Gladstone Investment Corporation,Financial,Diversified Investments,USA,324.61M,3.80,9.79
UONEK,"Urban One, Inc.",Services,Broadcasting - Radio,USA,103.78M,3.90,2.13
SPRT,"Support.com, Inc.",Technology,Internet Software & Services,USA,51.30M,3.93,2.69
NTRSP,Northern Trust Corporation,Financial,Asset Management,USA,5.62B,3.96,25.05
NLY,"Annaly Capital Management, Inc.",Financial,REIT - Diversified,USA,13.12B,3.97,9.96
HNNA,"Hennessy Advisors, Inc.",Financial,Asset Management,USA,96.06M,3.98,12.48
NCMI,"National CineMedia, Inc.",Services,Marketing Services,USA,533.05M,4.01,6.60
DXF,Dunxin Financial Holdings Limited,Financial,Credit Services,China,81.89M,4.01,3.93
RVT,Royce Value Trust Inc.,Financial,Closed-End Fund - Equity,USA,1.15B,4.11,13.48
SNFCA,Security National Financial Corporation,Financial,Credit Services,USA,81.94M,4.14,5.54
GLQ,Clough Global Equity Fund,Financial,Asset Management,USA,135.06M,4.14,11.71
TMK,Torchmark Corporation,Financial,Life Insurance,USA,9.70B,4.19,85.66
JMEI,Jumei International Holding Limited,Services,"Specialty Retail, Other",China,322.69M,4.19,2.09
OPHC,"OptimumBank Holdings, Inc.",Financial,Regional - Mid-Atlantic Banks,USA,6.30M,4.26,4.40
HEAR,Turtle Beach Corporation,Technology,Communication Equipment,USA,209.19M,4.28,13.90
AFGE,"American Financial Group, Inc.",Financial,Property & Casualty Insurance,USA,2.25B,4.28,25.24
TUSK,"Mammoth Energy Services, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,1.14B,4.31,23.90
AMBC,"Ambac Financial Group, Inc.",Financial,Surety & Title Insurance,USA,803.25M,4.33,17.32
TURN,180 Degree Capital Corp.,Financial,Asset Management,USA,62.84M,4.35,1.99
CYD,China Yuchai International Limited,Industrial Goods,Diversified Machinery,Singapore,595.74M,4.36,14.27
OSB,Norbord Inc.,Services,Building Materials Wholesale,Canada,2.43B,4.36,27.44
SDR,SandRidge Mississippian Trust II,Basic Materials,Independent Oil & Gas,USA,49.55M,4.37,0.99
CARV,"Carver Bancorp, Inc.",Financial,Savings & Loans,USA,15.69M,4.38,4.20
GLO,Clough Global Opportunities Fund,Financial,Asset Management,USA,299.36M,4.42,9.00
MXE,Mexico Equity & Income Fund Inc.,Financial,Asset Management,Mexico,72.77M,4.42,9.91
PER,SandRidge Permian Trust,Basic Materials,Independent Oil & Gas,USA,108.21M,4.46,2.05
ZTR,Virtus Global Dividend & Income Fund Inc.,Financial,Closed-End Fund - Equity,USA,240.29M,4.46,9.74
BGR,BlackRock Energy and Resources Trust,Financial,Closed-End Fund - Equity,USA,373.11M,4.50,12.31
QD,Qudian Inc.,Technology,Information Technology Services,China,1.46B,4.52,4.26
BXC,BlueLinx Holdings Inc.,Services,Building Materials Wholesale,USA,225.38M,4.56,22.93
MDR,"McDermott International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.54B,4.56,7.99
NRZ,New Residential Investment Corp.,Financial,REIT - Residential,USA,6.28B,4.57,16.70
PRTS,"U.S. Auto Parts Network, Inc.",Services,"Specialty Retail, Other",USA,39.20M,4.59,1.01
TECK,Teck Resources Limited,Basic Materials,Industrial Metals & Minerals,Canada,12.35B,4.63,20.41
TX,Ternium S.A.,Basic Materials,Steel & Iron,Luxembourg,6.22B,4.64,29.94
RMT,"Royce Micro-Cap Trust, Inc.",Financial,Closed-End Fund - Equity,USA,326.09M,4.70,8.36
ZEUS,"Olympic Steel, Inc.",Basic Materials,Steel & Iron,USA,206.11M,4.70,18.08
HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,477.19M,4.75,2.77
BOE,BlackRock Enhanced Global Dividend Trust,Financial,Closed-End Fund - Foreign,USA,697.39M,4.76,10.05
BBBY,Bed Bath & Beyond Inc.,Services,Home Furnishing Stores,USA,1.73B,4.80,12.29
IMMR,Immersion Corporation,Technology,Application Software,USA,342.65M,4.80,8.90
AETI,"American Electric Technologies, Inc",Industrial Goods,Industrial Electrical Equipment,USA,4.38M,4.81,0.47
STRM,"Streamline Health Solutions, Inc.",Technology,Healthcare Information Services,USA,18.09M,4.81,0.97
ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,551.94M,4.83,17.00
FUND,"Sprott Focus Trust, Inc. - Clos",Financial,Closed-End Fund - Equity,USA,175.15M,4.83,6.67
SHI,Sinopec Shanghai Petrochemical Company Limited,Basic Materials,Oil & Gas Refining & Marketing,China,7.04B,4.84,45.70
HABT,"The Habit Restaurants, Inc.",Services,Restaurants,USA,371.99M,4.85,14.15
KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,USA,1.48B,4.86,12.28
CIEN,Ciena Corporation,Technology,Communication Equipment,USA,4.63B,4.86,30.76
PZN,"Pzena Investment Management, Inc",Financial,Asset Management,USA,699.24M,4.86,10.24
ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,195.22M,4.87,9.64
ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,USA,1.51B,4.88,20.85
TWO,Two Harbors Investment Corp.,Financial,REIT - Residential,USA,3.54B,4.89,14.16
CC,The Chemours Company,Basic Materials,Specialty Chemicals,USA,5.01B,4.91,28.20
BGI,Birks Group Inc.,Services,Jewelry Stores,Canada,22.68M,4.92,1.26
CII,"BlackRock Enhanced Capital and Income Fund, Inc.",Financial,Closed-End Fund - Equity,USA,675.06M,4.92,15.01
CSSE,"Chicken Soup for the Soul Entertainment, Inc.",Services,Broadcasting - TV,USA,101.55M,4.93,8.57
BZH,"Beazer Homes USA, Inc.",Industrial Goods,Residential Construction,USA,345.36M,4.95,10.31
HMC,"Honda Motor Co., Ltd.",Consumer Goods,Auto Manufacturers - Major,Japan,50.47B,4.97,27.69
IMKTA,"Ingles Markets, Incorporated",Services,Grocery Stores,USA,624.62M,5.00,30.05
