Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
NTN,"NTN Buzztime, Inc.",Services,Broadcasting - TV,USA,8.21M,0.00,2.87
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,1.86B,0.05,2.35
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,8.28M,0.11,1.90
SYN,"Synthetic Biologics, Inc.",Healthcare,Biotechnology,USA,10.53M,0.20,0.75
EMCF,Emclaire Financial Corp.,Financial,Regional - Northeast Banks,USA,89.66M,0.31,33.33
ICON,"Iconix Brand Group, Inc.",Consumer Goods,Textile - Apparel Footwear & Accessories,USA,12.50M,0.31,0.15
YECO,Yulong Eco-Materials Limited,Industrial Goods,General Building Materials,China,15.45M,0.37,6.48
STCN,"Steel Connect, Inc.",Services,Business Services,USA,105.08M,0.41,1.74
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,224.21M,0.49,10.74
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,207.77M,0.51,12.60
SSKN,"STRATA Skin Sciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,79.69M,0.52,2.62
AVYA,Avaya Holdings Corp.,Services,Business Services,USA,1.66B,0.56,14.62
SOL,ReneSola Ltd,Technology,Semiconductor - Specialized,China,61.69M,0.59,1.54
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,92.90M,0.65,1.48
SMMT,Summit Therapeutics plc,Healthcare,Drug Manufacturers - Other,United Kingdom,104.30M,0.66,1.36
GTX,Garrett Motion Inc.,Consumer Goods,Auto Parts,Switzerland,883.06M,0.69,11.80
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,26.65M,0.70,0.76
BPR,Brookfield Property REIT Inc.,Financial,REIT - Retail,USA,2.32B,0.72,17.81
OZM,Och-Ziff Capital Management Group LLC,Financial,Asset Management,USA,516.58M,0.76,1.03
RBCN,"Rubicon Technology, Inc.",Technology,Semiconductor Equipment & Materials,USA,20.96M,0.78,8.00
HCHC,"HC2 Holdings, Inc.",Technology,Long Distance Carriers,USA,144.64M,0.81,3.18
CUO,Continental Materials Corporation,Industrial Goods,Diversified Machinery,USA,20.03M,0.83,11.37
BLNK,Blink Charging Co.,Services,Business Services,USA,60.47M,0.93,2.35
