Action,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
REMOVED,HBM,Hudbay Minerals Inc.,Basic Materials,Copper,Canada,1.02B,4.52,4.29
REMOVED,JP,Jupai Holdings Limited,Financial,Asset Management,China,249.79M,4.66,8.23
REMOVED,KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,USA,1.63B,4.70,14.30
REMOVED,UCTT,"Ultra Clean Holdings, Inc.",Technology,Semiconductor Equipment & Materials,USA,412.07M,4.75,10.72
REMOVED,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,569.41M,4.82,17.70
REMOVED,SDR,SandRidge Mississippian Trust II,Basic Materials,Independent Oil & Gas,USA,56.22M,4.85,1.12
REMOVED,WTI,"W&T Offshore, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,948.92M,4.86,7.22
REMOVED,EOS,Eaton Vance Enhanced Equity Income Fund II,Financial,Closed-End Fund - Equity,USA,746.36M,4.96,15.79
REMOVED,FBM,"Foundation Building Materials, Inc.",Services,Industrial Equipment Wholesale,USA,428.37M,4.96,11.10
REMOVED,CII,"BlackRock Enhanced Capital and Income Fund, Inc.",Financial,Closed-End Fund - Equity,USA,682.12M,4.98,15.56
REMOVED,SINO,"Sino-Global Shipping America, Ltd.",Services,Air Delivery & Freight Services,USA,19.17M,4.98,1.42
REMOVED,DIAX,Nuveen Dow 30 Dynamic Overwrite Fund,Financial,Closed-End Fund - Equity,USA,641.60M,4.99,17.78
