Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
NTN,"NTN Buzztime, Inc.",Services,Broadcasting - TV,USA,10.64M,0.00,3.82
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,2.51B,0.07,3.91
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,9.17M,0.13,1.78
STCN,"Steel Connect, Inc.",Services,Business Services,USA,118.37M,0.43,1.84
YECO,Yulong Eco-Materials Limited,Industrial Goods,General Building Materials,China,17.12M,0.44,7.38
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,216.10M,0.48,10.52
AVYA,Avaya Holdings Corp.,Services,Business Services,USA,1.83B,0.59,16.80
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,238.36M,0.60,15.00
SOL,ReneSola Ltd,Technology,Semiconductor - Specialized,China,68.61M,0.62,1.75
NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management,USA,141.00M,0.70,10.03
OZM,Och-Ziff Capital Management Group LLC,Financial,Asset Management,USA,584.23M,0.75,1.10
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,31.03M,0.82,0.88
RBCN,"Rubicon Technology, Inc.",Technology,Semiconductor Equipment & Materials,USA,21.17M,0.84,7.53
HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,607.13M,0.93,3.79
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,60.70M,0.97,0.99
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,27.50M,1.07,1.08
CUO,Continental Materials Corporation,Industrial Goods,Diversified Machinery,USA,26.60M,1.09,15.66
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,25.17M,1.12,0.64
HTZ,"Hertz Global Holdings, Inc.",Services,Rental & Leasing Services,USA,1.30B,1.14,15.56
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,4.40M,1.18,2.80
PRTS,"U.S. Auto Parts Network, Inc.",Services,"Specialty Retail, Other",USA,43.38M,1.29,1.22
ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,50.45M,1.35,19.31
CXDC,China XD Plastics Company Limited,Consumer Goods,Rubber & Plastics,China,152.88M,1.41,2.67
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,Luxembourg,443.24M,1.57,24.96
DLPN,"Dolphin Entertainment, Inc.",Technology,Internet Information Providers,USA,25.37M,1.59,1.50
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,314.97M,1.60,3.34
GLOW,"Glowpoint, Inc.",Technology,Diversified Communication Services,USA,9.24M,1.61,0.19
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,80.59M,1.65,15.05
MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,30.55M,1.67,2.03
EMCF,Emclaire Financial Corp.,Financial,Regional - Northeast Banks,USA,71.72M,1.73,32.75
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,122.09M,1.78,2.09
GMTA,GATX Corporation SR NT 2066,Services,"Specialty Retail, Other",USA,925.42M,1.79,24.09
SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,29.15M,1.84,1.23
DAC,Danaos Corporation,Services,Shipping,Greece,234.34M,1.84,1.06
CIFS,China Internet Nationwide Financial Services Inc.,Financial,Credit Services,China,32.93M,1.86,2.02
PVL,Permianville Royalty Trust,Basic Materials,Independent Oil & Gas,USA,90.06M,1.96,2.75
BHR,"Braemar Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,355.80M,2.01,10.08
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,9.36M,2.08,0.93
FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.40B,2.14,13.02
RFP,Resolute Forest Products Inc.,Consumer Goods,Paper & Paper Products,Canada,1.23B,2.15,13.40
AABA,Altaba Inc.,Financial,Asset Management,USA,36.86B,2.16,61.80
DGSE,"DGSE Companies, Inc.",Services,Jewelry Stores,USA,14.23M,2.17,0.52
MNK,Mallinckrodt Public Limited Company,Healthcare,Drugs - Generic,United Kingdom,2.27B,2.21,28.87
SD,"SandRidge Energy, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,330.05M,2.24,9.40
JE,Just Energy Group Inc.,Utilities,Diversified Utilities,Canada,511.93M,2.29,3.39
SPRT,"Support.com, Inc.",Technology,Internet Software & Services,USA,50.81M,2.29,2.73
NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,21.02M,2.32,1.09
LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,1.35B,2.42,5.85
KEN,Kenon Holdings Ltd.,Utilities,Foreign Utilities,Singapore,847.82M,2.44,15.76
TDF,"Templeton Dragon Fund, Inc.",Financial,Closed-End Fund - Foreign,Singapore,605.25M,2.47,17.82
OSN,"Ossen Innovation Co., Ltd.",Basic Materials,Steel & Iron,China,13.02M,2.47,1.96
HEBT,"Hebron Technology Co., Ltd.",Industrial Goods,Diversified Machinery,China,10.03M,2.47,1.12
TYHT,"Shineco, Inc.",Healthcare,Drug Related Products,China,15.88M,2.50,0.86
KODK,Eastman Kodak Company,Consumer Goods,Electronic Equipment,USA,113.57M,2.51,2.84
FNJN,"Finjan Holdings, Inc.",Technology,Application Software,USA,101.38M,2.56,3.80
KLXE,"KLX Energy Services Holdings, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,593.51M,2.59,29.09
