Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
NTN,"NTN Buzztime, Inc.",Services,Broadcasting - TV,USA,11.16M,0.00,3.79
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,2.52B,0.07,3.73
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,9.21M,0.12,1.85
YECO,Yulong Eco-Materials Limited,Industrial Goods,General Building Materials,China,9.58M,0.39,7.05
STCN,"Steel Connect, Inc.",Services,Business Services,USA,124.09M,0.46,1.87
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,222.18M,0.48,10.47
OPHT,Ophthotech Corporation,Healthcare,Biotechnology,USA,88.04M,0.54,2.30
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,246.16M,0.60,14.99
AVYA,Avaya Holdings Corp.,Services,Business Services,USA,1.85B,0.61,16.09
SOL,ReneSola Ltd,Technology,Semiconductor - Specialized,China,67.83M,0.64,1.65
NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management,USA,139.15M,0.72,10.41
OZM,Och-Ziff Capital Management Group LLC,Financial,Asset Management,USA,584.56M,0.79,1.14
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,33.64M,0.84,0.92
RBCN,"Rubicon Technology, Inc.",Technology,Semiconductor Equipment & Materials,USA,21.95M,0.86,7.77
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,62.34M,0.95,0.93
HK,Halcon Resources Corporation,Basic Materials,Oil & Gas Drilling & Exploration,USA,610.09M,0.96,3.76
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,27.27M,1.07,1.06
HTZ,"Hertz Global Holdings, Inc.",Services,Rental & Leasing Services,USA,1.28B,1.07,14.73
CUO,Continental Materials Corporation,Industrial Goods,Diversified Machinery,USA,27.05M,1.11,15.90
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,26.30M,1.12,0.65
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,4.99M,1.34,2.67
ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,57.62M,1.36,20.28
CXDC,China XD Plastics Company Limited,Consumer Goods,Rubber & Plastics,China,151.05M,1.40,2.69
