Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,4.89B,0.07,2.12
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,306.63M,0.48,17.90
SSKN,"STRATA Skin Sciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,80.16M,0.52,2.63
PLAG,Planet Green Holdings Corp.,Consumer Goods,Processed & Packaged Goods,China,22.22M,0.53,4.20
PED,PEDEVCO Corp.,Basic Materials,Oil & Gas Equipment & Services,USA,92.29M,0.60,2.08
UONEK,"Urban One, Inc.",Services,Broadcasting - Radio,USA,81.43M,0.62,1.86
BPRAP,Brookfield Property REIT Inc.,Financial,REIT - Retail,USA,3.71B,0.67,25.16
HCHC,"HC2 Holdings, Inc.",Technology,Long Distance Carriers,USA,102.96M,0.73,2.43
EMES,Emerge Energy Services LP,Basic Materials,Industrial Metals & Minerals,USA,8.81M,0.79,0.32
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,3.75M,0.79,2.32
BPR,Brookfield Property REIT Inc.,Financial,REIT - Retail,USA,2.05B,0.80,20.82
COOP,Mr. Cooper Group Inc.,Financial,Savings & Loans,USA,796.18M,0.81,9.03
ISEE,"IVERIC bio, Inc.",Healthcare,Biotechnology,USA,58.93M,0.97,1.43
UPL,Ultra Petroleum Corp.,Basic Materials,Independent Oil & Gas,USA,89.44M,1.00,0.43
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,21.21M,1.02,0.54
SIGA,"SIGA Technologies, Inc.",Healthcare,Biotechnology,USA,456.00M,1.09,5.58
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,53.85M,1.11,0.83
LGCY,Legacy Reserves Inc.,Basic Materials,Independent Oil & Gas,USA,51.73M,1.14,0.46
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,62.56M,1.15,0.70
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,21.57M,1.15,0.83
HHS,"Harte Hanks, Inc.",Services,Marketing Services,USA,19.24M,1.27,3.03
IPLDP,Interstate Power and Light Company,Utilities,Electric Utilities,USA,202.28M,1.28,25.25
ARL,"American Realty Investors, Inc.",Financial,Property Management,USA,222.95M,1.32,14.21
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,135.37M,1.35,2.20
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,63.77M,1.36,0.55
SMMT,Summit Therapeutics plc,Healthcare,Drug Manufacturers - Other,United Kingdom,144.54M,1.44,1.76
OSN,"Ossen Innovation Co., Ltd.",Basic Materials,Steel & Iron,China,13.37M,1.46,1.96
TCI,"Transcontinental Realty Investors, Inc.",Financial,REIT - Diversified,USA,280.96M,1.55,32.00
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,73.36M,1.57,13.51
FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.16B,1.73,10.79
CEPU,Central Puerto S.A.,Utilities,Electric Utilities,Argentina,13.13B,1.88,8.72
