Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,4.84B,0.07,2.10
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,298.92M,0.47,17.45
SSKN,"STRATA Skin Sciences, Inc.",Healthcare,Medical Instruments & Supplies,USA,81.69M,0.53,2.68
PLAG,Planet Green Holdings Corp.,Consumer Goods,Processed & Packaged Goods,China,24.97M,0.60,4.72
PED,PEDEVCO Corp.,Basic Materials,Oil & Gas Equipment & Services,USA,92.73M,0.61,2.09
UONEK,"Urban One, Inc.",Services,Broadcasting - Radio,USA,80.23M,0.61,1.83
BPRAP,Brookfield Property REIT Inc.,Financial,REIT - Retail,USA,3.71B,0.67,25.16
HCHC,"HC2 Holdings, Inc.",Technology,Long Distance Carriers,USA,105.08M,0.74,2.48
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,3.62M,0.76,2.24
BPR,Brookfield Property REIT Inc.,Financial,REIT - Retail,USA,1.98B,0.77,20.14
EMES,Emerge Energy Services LP,Basic Materials,Industrial Metals & Minerals,USA,8.69M,0.78,0.32
COOP,Mr. Cooper Group Inc.,Financial,Savings & Loans,USA,813.81M,0.83,9.23
ISEE,"IVERIC bio, Inc.",Healthcare,Biotechnology,USA,59.34M,0.97,1.44
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,20.62M,0.99,0.52
UPL,Ultra Petroleum Corp.,Basic Materials,Independent Oil & Gas,USA,89.23M,0.99,0.43
LGCY,Legacy Reserves Inc.,Basic Materials,Independent Oil & Gas,USA,48.12M,1.06,0.42
SIGA,"SIGA Technologies, Inc.",Healthcare,Biotechnology,USA,446.19M,1.07,5.46
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,52.14M,1.07,0.80
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,58.90M,1.08,0.66
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,21.56M,1.15,0.83
ARL,"American Realty Investors, Inc.",Financial,Property Management,USA,212.44M,1.25,13.54
IPLDP,Interstate Power and Light Company,Utilities,Electric Utilities,USA,201.69M,1.28,25.18
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,129.83M,1.30,2.11
HHS,"Harte Hanks, Inc.",Services,Marketing Services,USA,20.00M,1.32,3.15
AMPE,"Ampio Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,63.43M,1.36,0.55
SMMT,Summit Therapeutics plc,Healthcare,Drug Manufacturers - Other,United Kingdom,148.65M,1.48,1.81
OSN,"Ossen Innovation Co., Ltd.",Basic Materials,Steel & Iron,China,13.71M,1.49,2.01
TCI,"Transcontinental Realty Investors, Inc.",Financial,REIT - Diversified,USA,277.01M,1.52,31.55
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,73.52M,1.58,13.54
FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.11B,1.65,10.29
CEPU,Central Puerto S.A.,Utilities,Electric Utilities,Argentina,12.90B,1.85,8.57
XIN,"Xinyuan Real Estate Co., Ltd.",Financial,Real Estate Development,China,290.57M,1.89,4.50
JE,Just Energy Group Inc.,Utilities,Diversified Utilities,Canada,541.80M,2.06,3.63
HCC,"Warrior Met Coal, Inc.",Basic Materials,Industrial Metals & Minerals,USA,1.45B,2.14,28.08
