Action,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
REMOVED,STRM,"Streamline Health Solutions, Inc.",Technology,Healthcare Information Services,USA,18.09M,4.81,0.97
REMOVED,ACLS,"Axcelis Technologies, Inc.",Technology,Semiconductor Equipment & Materials,USA,551.94M,4.83,17.00
REMOVED,FUND,"Sprott Focus Trust, Inc. - Clos",Financial,Closed-End Fund - Equity,USA,175.15M,4.83,6.67
REMOVED,SHI,Sinopec Shanghai Petrochemical Company Limited,Basic Materials,Oil & Gas Refining & Marketing,China,7.04B,4.84,45.70
REMOVED,HABT,"The Habit Restaurants, Inc.",Services,Restaurants,USA,371.99M,4.85,14.15
REMOVED,KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,USA,1.48B,4.86,12.28
REMOVED,CIEN,Ciena Corporation,Technology,Communication Equipment,USA,4.63B,4.86,30.76
REMOVED,PZN,"Pzena Investment Management, Inc",Financial,Asset Management,USA,699.24M,4.86,10.24
REMOVED,ADES,"Advanced Emissions Solutions, Inc.",Industrial Goods,Pollution & Treatment Controls,USA,195.22M,4.87,9.64
REMOVED,ALEX,"Alexander & Baldwin, Inc.",Financial,Real Estate Development,USA,1.51B,4.88,20.85
REMOVED,TWO,Two Harbors Investment Corp.,Financial,REIT - Residential,USA,3.54B,4.89,14.16
REMOVED,CC,The Chemours Company,Basic Materials,Specialty Chemicals,USA,5.01B,4.91,28.20
REMOVED,BGI,Birks Group Inc.,Services,Jewelry Stores,Canada,22.68M,4.92,1.26
REMOVED,CII,"BlackRock Enhanced Capital and Income Fund, Inc.",Financial,Closed-End Fund - Equity,USA,675.06M,4.92,15.01
REMOVED,CSSE,"Chicken Soup for the Soul Entertainment, Inc.",Services,Broadcasting - TV,USA,101.55M,4.93,8.57
REMOVED,HMC,"Honda Motor Co., Ltd.",Consumer Goods,Auto Manufacturers - Major,Japan,50.47B,4.97,27.69
REMOVED,IMKTA,"Ingles Markets, Incorporated",Services,Grocery Stores,USA,624.62M,5.00,30.05
