Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price
NTN,"NTN Buzztime, Inc.",Services,Broadcasting - TV,USA,8.47M,0.00,2.95
OIBR-C,Oi S.A.,Technology,Diversified Communication Services,Brazil,2.42B,0.07,3.58
BVSN,"BroadVision, Inc.",Technology,Internet Software & Services,USA,8.60M,0.11,1.65
YECO,Yulong Eco-Materials Limited,Industrial Goods,General Building Materials,China,13.06M,0.33,5.68
STCN,"Steel Connect, Inc.",Services,Business Services,USA,111.13M,0.43,1.82
LCUT,"Lifetime Brands, Inc.",Consumer Goods,Housewares & Accessories,USA,215.69M,0.47,10.31
CMLS,Cumulus Media Inc.,Services,Broadcasting - Radio,USA,230.58M,0.57,14.00
AVYA,Avaya Holdings Corp.,Services,Business Services,USA,1.80B,0.59,15.92
SOL,ReneSola Ltd,Technology,Semiconductor - Specialized,China,60.55M,0.59,1.63
NES,"Nuverra Environmental Solutions, Inc.",Industrial Goods,Waste Management,USA,116.38M,0.60,9.37
SMMT,Summit Therapeutics plc,Healthcare,Drug Manufacturers - Other,United Kingdom,115.80M,0.73,1.41
OZM,Och-Ziff Capital Management Group LLC,Financial,Asset Management,USA,511.62M,0.75,1.04
CIDM,Cinedigm Corp.,Services,Entertainment - Diversified,USA,30.41M,0.79,0.85
GTX,Garrett Motion Inc.,Consumer Goods,Auto Parts,Switzerland,1.07B,0.80,13.56
RBCN,"Rubicon Technology, Inc.",Technology,Semiconductor Equipment & Materials,USA,21.29M,0.85,7.77
CGA,"China Green Agriculture, Inc.",Basic Materials,Agricultural Chemicals,China,23.13M,0.93,0.53
KGJI,"Kingold Jewelry, Inc.",Basic Materials,Gold,China,69.34M,1.00,1.00
INFI,"Infinity Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,74.77M,1.05,1.31
BORN,China New Borun Corporation,Consumer Goods,Beverages - Brewers,China,27.50M,1.06,1.05
CUO,Continental Materials Corporation,Industrial Goods,Diversified Machinery,USA,26.99M,1.09,15.60
CXDC,China XD Plastics Company Limited,Consumer Goods,Rubber & Plastics,China,131.36M,1.10,2.24
UONE,"Urban One, Inc.",Services,Broadcasting - Radio,USA,4.18M,1.12,2.54
HCHC,"HC2 Holdings, Inc.",Technology,Long Distance Carriers,USA,233.40M,1.27,5.04
HTZ,"Hertz Global Holdings, Inc.",Services,Rental & Leasing Services,USA,1.34B,1.40,19.01
ASPS,Altisource Portfolio Solutions S.A.,Services,Business Services,Luxembourg,389.88M,1.41,22.84
SDLP,Seadrill Partners LLC,Basic Materials,Oil & Gas Drilling & Exploration,United Kingdom,290.63M,1.43,3.08
GLOW,"Glowpoint, Inc.",Technology,Diversified Communication Services,USA,8.85M,1.46,0.18
ATV,"Acorn International, Inc.",Services,Catalog & Mail Order Houses,China,714.83M,1.50,21.30
DLPN,"Dolphin Entertainment, Inc.",Technology,Internet Information Providers,USA,20.09M,1.53,1.44
MN,"Manning & Napier, Inc.",Financial,Asset Management,USA,30.29M,1.57,1.91
AVNW,"Aviat Networks, Inc.",Technology,Communication Equipment,USA,85.62M,1.66,15.10
DAC,Danaos Corporation,Services,Shipping,Greece,200.63M,1.73,1.04
EGY,"VAALCO Energy, Inc.",Basic Materials,Independent Oil & Gas,USA,122.70M,1.76,1.96
CIFS,China Internet Nationwide Financial Services Inc.,Financial,Credit Services,China,43.30M,1.77,1.83
EMCF,Emclaire Financial Corp.,Financial,Regional - Northeast Banks,USA,76.27M,1.78,33.75
GMTA,GATX Corporation SR NT 2066,Services,"Specialty Retail, Other",USA,944.40M,1.83,24.39
FTSI,"FTS International, Inc.",Basic Materials,Oil & Gas Equipment & Services,USA,1.29B,1.87,11.72
RFP,Resolute Forest Products Inc.,Consumer Goods,Paper & Paper Products,Canada,1.13B,1.90,12.01
BHR,"Braemar Hotels & Resorts, Inc.",Financial,REIT - Hotel/Motel,USA,321.59M,1.90,9.76
SYPR,"Sypris Solutions, Inc.",Consumer Goods,Auto Parts,USA,28.80M,1.93,1.35
PVL,Permianville Royalty Trust,Basic Materials,Independent Oil & Gas,USA,87.43M,1.94,2.70
TYHT,"Shineco, Inc.",Healthcare,Drug Related Products,China,17.32M,1.97,0.71
NBY,"NovaBay Pharmaceuticals, Inc.",Healthcare,Biotechnology,USA,18.80M,2.11,1.02
AABA,Altaba Inc.,Financial,Asset Management,USA,36.13B,2.13,59.95
LPI,"Laredo Petroleum, Inc.",Basic Materials,Independent Oil & Gas,USA,1.29B,2.16,5.30
DGSE,"DGSE Companies, Inc.",Services,Jewelry Stores,USA,14.37M,2.20,0.52
UPL,Ultra Petroleum Corp.,Basic Materials,Independent Oil & Gas,USA,315.38M,2.20,1.58
BDR,"Blonder Tongue Laboratories, Inc.",Technology,Communication Equipment,USA,9.68M,2.21,1.00
SD,"SandRidge Energy, Inc.",Basic Materials,Oil & Gas Drilling & Exploration,USA,358.93M,2.22,10.44
BTI,British American Tobacco p.l.c.,Consumer Goods,Cigarettes,United Kingdom,92.57B,2.30,38.08
MDCA,MDC Partners Inc.,Services,Marketing Services,Canada,165.09M,2.34,2.77
SPRT,"Support.com, Inc.",Technology,Internet Software & Services,USA,54.21M,2.35,2.79
HEBT,"Hebron Technology Co., Ltd.",Industrial Goods,Diversified Machinery,China,9.61M,2.37,1.15
NVFY,"Nova LifeStyle, Inc.",Consumer Goods,Home Furnishings & Fixtures,USA,25.05M,2.37,0.91
EMMS,Emmis Communications Corporation,Services,Broadcasting - Radio,USA,48.72M,2.41,3.83
OSN,"Ossen Innovation Co., Ltd.",Basic Materials,Steel & Iron,China,13.29M,2.41,1.95
MNK,Mallinckrodt Public Limited Company,Healthcare,Drugs - Generic,United Kingdom,2.66B,2.46,31.60
JE,Just Energy Group Inc.,Utilities,Diversified Utilities,Canada,573.12M,2.56,3.84
FNJN,"Finjan Holdings, Inc.",Technology,Application Software,USA,101.88M,2.57,3.81
KEN,Kenon Holdings Ltd.,Utilities,Foreign Utilities,Singapore,911.95M,2.59,16.73
